,efm,reaction,kcat,dq/dk,dlogq/dlogk
3,291,r22,3.59e+02,1.51e-06,1.16e-03
4,291,r21,3.77e+01,9.39e-04,7.56e-02
5,291,r3,1.15e+02,2.80e-04,6.88e-02
6,291,r27,7.81e+01,2.23e-03,3.72e-01
7,291,r7rb,3.90e+02,2.37e-05,1.97e-02
8,291,r24,1.08e+02,3.69e-06,8.55e-04
9,291,r23r,3.26e+01,2.59e-05,1.80e-03
10,291,r10c,1.10e+02,9.12e-05,2.15e-02
11,291,r41,7.59e+01,1.18e-05,1.91e-03
12,291,r40,1.23e+02,2.93e-05,7.71e-03
13,291,r6r,7.84e+03,1.14e-06,1.91e-02
14,291,r5r,7.99e+00,3.16e-03,5.39e-02
15,291,r15r,7.53e+01,1.71e-04,2.75e-02
16,291,r14r,1.67e+01,2.42e-03,8.65e-02
17,291,r27b,1.79e+02,2.33e-04,8.92e-02
18,291,r7ra,2.33e+02,8.43e-05,4.20e-02
19,291,r7rc,5.31e+01,1.16e-04,1.32e-02
20,291,r13r,4.64e+01,3.54e-05,3.51e-03
21,291,r10a,2.41e+02,2.51e-05,1.29e-02
22,291,r1,1.04e+02,1.30e-04,2.88e-02
23,291,r10b,4.10e+02,1.29e-05,1.13e-02
24,291,r29r,2.11e+02,2.56e-07,1.15e-04
25,291,r93,9.97e+01,8.03e-06,1.71e-03
26,291,r8r,2.11e+02,2.31e-05,1.04e-02
27,291,r12r,1.36e+03,2.61e-08,7.58e-05
28,291,r11r,1.34e+02,1.92e-05,5.49e-03
29,291,r70,9.95e+01,6.83e-07,1.45e-04
0,297,r91,1.00e+02,9.47e-06,2.85e-03
1,297,r55b,5.88e+01,3.35e-05,5.93e-03
2,297,r55a,9.13e+01,2.88e-05,7.92e-03
3,297,r22,3.59e+02,1.67e-06,1.80e-03
4,297,r21,3.77e+01,5.49e-04,6.23e-02
5,297,r3,1.15e+02,1.41e-04,4.86e-02
6,297,r80,7.10e+01,2.42e-03,5.16e-01
7,297,r7rb,3.90e+02,1.95e-05,2.29e-02
8,297,r24,1.08e+02,4.19e-06,1.37e-03
9,297,r23r,3.26e+01,2.67e-05,2.62e-03
10,297,r10c,1.10e+02,5.47e-05,1.81e-02
11,297,r41,7.59e+01,3.42e-06,7.82e-04
12,297,r40,1.23e+02,1.98e-05,7.34e-03
13,297,r6r,7.84e+03,7.65e-07,1.80e-02
14,297,r5r,7.99e+00,2.12e-03,5.09e-02
15,297,r15r,7.53e+01,8.99e-05,2.04e-02
16,297,r14r,1.67e+01,1.47e-03,7.41e-02
17,297,r7ra,2.33e+02,6.39e-05,4.48e-02
18,297,r7rc,5.31e+01,8.73e-05,1.40e-02
19,297,r13r,4.64e+01,2.45e-05,3.42e-03
20,297,r10a,2.41e+02,1.94e-05,1.41e-02
21,297,r1,1.04e+02,9.79e-05,3.06e-02
22,297,r10b,4.10e+02,1.00e-05,1.24e-02
23,297,r29r,2.11e+02,5.67e-08,3.60e-05
24,297,r93,9.97e+01,8.03e-06,2.41e-03
25,297,r8r,2.11e+02,1.82e-05,1.15e-02
26,297,r12r,1.36e+03,2.38e-08,9.77e-05
27,297,r11r,1.34e+02,1.17e-05,4.72e-03
28,297,r70,9.95e+01,7.24e-07,2.17e-04
0,300,r22,3.59e+02,2.58e-06,2.30e-03
1,300,r21,3.77e+01,2.37e-04,2.21e-02
2,300,r3,1.15e+02,2.15e-04,6.12e-02
3,300,r80,7.10e+01,2.52e-03,4.42e-01
4,300,r7rb,3.90e+02,2.96e-05,2.86e-02
5,300,r24,1.08e+02,5.40e-06,1.45e-03
6,300,r23r,3.26e+01,3.32e-05,2.68e-03
7,300,r10c,1.10e+02,7.96e-05,2.17e-02
8,300,r41,7.59e+01,1.44e-05,2.71e-03
9,300,r40,1.23e+02,4.52e-05,1.38e-02
10,300,r6r,7.84e+03,1.27e-06,2.47e-02
11,300,r5r,7.99e+00,3.53e-03,6.99e-02
12,300,r15r,7.53e+01,1.46e-04,2.72e-02
13,300,r14r,1.67e+01,2.44e-03,1.01e-01
14,300,r7ra,2.33e+02,1.02e-04,5.91e-02
15,300,r7rc,5.31e+01,1.42e-04,1.87e-02
16,300,r13r,4.64e+01,4.09e-05,4.70e-03
17,300,r10a,2.41e+02,2.38e-05,1.42e-02
18,300,r1,1.04e+02,1.44e-04,3.70e-02
19,300,r10b,4.10e+02,1.19e-05,1.21e-02
20,300,r94,1.00e+02,2.29e-05,5.68e-03
21,300,r53r,1.39e+02,8.07e-06,2.79e-03
22,300,r29r,2.11e+02,3.13e-07,1.64e-04
23,300,r93,9.97e+01,8.03e-06,1.98e-03
24,300,r8r,2.11e+02,2.90e-05,1.51e-02
25,300,r12r,1.36e+03,3.48e-08,1.18e-04
26,300,r11r,1.34e+02,1.78e-05,5.90e-03
27,300,r70,9.95e+01,8.51e-07,2.10e-04
0,302,r22,3.59e+02,3.84e-05,1.09e-02
1,302,r21,3.77e+01,1.76e-03,5.25e-02
2,302,r26r,8.92e+01,1.57e-04,1.11e-02
3,302,r3,1.15e+02,8.59e-04,7.82e-02
4,302,r27,7.81e+01,3.34e-03,2.06e-01
5,302,rr9,1.32e+01,5.68e-03,5.95e-02
6,302,r7rb,3.90e+02,1.22e-04,3.78e-02
7,302,r25,1.51e+02,3.71e-04,4.42e-02
8,302,r24,1.08e+02,1.15e-04,9.86e-03
9,302,r23r,3.26e+01,6.92e-04,1.79e-02
10,302,r10c,1.10e+02,3.01e-06,2.63e-04
11,302,r40,1.23e+02,3.80e-04,3.71e-02
12,302,r6r,7.84e+03,4.06e-06,2.52e-02
13,302,r5r,7.99e+00,1.21e-02,7.64e-02
14,302,r14r,1.67e+01,1.15e-04,1.53e-03
15,302,r2r,3.22e+02,5.57e-05,1.42e-02
16,302,r28r,2.82e+02,1.90e-05,4.25e-03
17,302,r27b,1.79e+02,7.07e-04,1.00e-01
18,302,r7ra,2.33e+02,4.42e-04,8.17e-02
19,302,r7rc,5.31e+01,6.24e-04,2.63e-02
20,302,r13r,4.64e+01,2.84e-06,1.04e-04
21,302,r10a,2.41e+02,6.68e-07,1.27e-04
22,302,r1,1.04e+02,9.09e-04,7.49e-02
23,302,r10b,4.10e+02,2.43e-07,7.88e-05
24,302,r29r,2.11e+02,2.35e-06,3.92e-04
25,302,r93,9.97e+01,8.03e-06,6.34e-04
26,302,r8r,2.11e+02,1.35e-04,2.26e-02
27,302,r12r,1.36e+03,1.20e-08,1.30e-05
28,302,r11r,1.34e+02,2.30e-07,2.44e-05
29,302,r95,1.00e+02,6.85e-05,5.42e-03
30,302,r70,9.95e+01,6.75e-07,5.32e-05
0,304,r22,3.59e+02,2.25e-05,1.07e-02
1,304,r21,3.77e+01,1.06e-03,5.30e-02
2,304,r26r,8.92e+01,5.60e-05,6.66e-03
3,304,r3,1.15e+02,5.25e-04,8.05e-02
4,304,rr9,1.32e+01,3.15e-03,5.55e-02
5,304,r80,7.10e+01,3.05e-03,2.88e-01
6,304,r7rb,3.90e+02,7.98e-05,4.15e-02
7,304,r25,1.51e+02,1.84e-04,3.69e-02
8,304,r24,1.08e+02,6.40e-05,9.25e-03
9,304,r23r,3.26e+01,4.02e-04,1.75e-02
10,304,r10c,1.10e+02,3.08e-06,4.53e-04
11,304,r40,1.23e+02,2.29e-04,3.76e-02
12,304,r6r,7.84e+03,2.51e-06,2.62e-02
13,304,r5r,7.99e+00,7.45e-03,7.93e-02
14,304,r14r,1.67e+01,1.08e-04,2.40e-03
15,304,r2r,3.22e+02,3.39e-05,1.45e-02
16,304,r28r,2.82e+02,1.30e-05,4.87e-03
17,304,r27b,1.79e+02,5.53e-05,1.32e-02
18,304,r7ra,2.33e+02,2.69e-04,8.36e-02
19,304,r7rc,5.31e+01,3.95e-04,2.79e-02
20,304,r13r,4.64e+01,2.91e-06,1.80e-04
21,304,r10a,2.41e+02,7.02e-07,2.25e-04
22,304,r1,1.04e+02,5.43e-04,7.52e-02
23,304,r10b,4.10e+02,2.61e-07,1.43e-04
24,304,r29r,2.11e+02,1.35e-06,3.79e-04
25,304,r93,9.97e+01,8.03e-06,1.07e-03
26,304,r8r,2.11e+02,8.64e-05,2.43e-02
27,304,r12r,1.36e+03,1.26e-08,2.29e-05
28,304,r11r,1.34e+02,2.41e-07,4.30e-05
29,304,r95,1.00e+02,6.22e-05,8.30e-03
30,304,r70,9.95e+01,6.46e-07,8.57e-05
0,305,r54ra,3.51e-01,1.49e+01,5.68e-01
1,305,r22,3.59e+02,4.00e-05,1.56e-03
2,305,r21,3.77e+01,2.34e-02,9.57e-02
3,305,r54rb,3.24e+02,4.31e-04,1.52e-02
4,305,r26r,8.92e+01,1.23e-04,1.19e-03
5,305,r3,1.15e+02,4.36e-03,5.45e-02
6,305,rr9,1.32e+01,3.67e-03,5.28e-03
7,305,r7rb,3.90e+02,7.71e-04,3.27e-02
8,305,r25,1.51e+02,1.04e-03,1.70e-02
9,305,r24,1.08e+02,1.48e-04,1.74e-03
10,305,r23r,3.26e+01,6.82e-04,2.42e-03
11,305,r10c,1.10e+02,4.18e-06,5.00e-05
12,305,r40,1.23e+02,6.24e-04,8.35e-03
13,305,r6r,7.84e+03,1.45e-05,1.24e-02
14,305,r5r,7.99e+00,4.00e-02,3.47e-02
15,305,r14r,1.67e+01,8.74e-05,1.59e-04
16,305,r2r,3.22e+02,2.00e-04,6.99e-03
17,305,r28r,2.82e+02,4.94e-05,1.51e-03
18,305,r27b,1.79e+02,1.71e-04,3.32e-03
19,305,r7ra,2.33e+02,1.85e-03,4.67e-02
20,305,r7rc,5.31e+01,2.66e-03,1.54e-02
21,305,r13r,4.64e+01,3.98e-06,2.00e-05
22,305,r10a,2.41e+02,1.25e-06,3.26e-05
23,305,r1,1.04e+02,5.15e-03,5.81e-02
24,305,r10b,4.10e+02,5.48e-07,2.44e-05
25,305,r29r,2.11e+02,2.91e-06,6.65e-05
26,305,r93,9.97e+01,8.03e-06,8.69e-05
27,305,r8r,2.11e+02,6.52e-04,1.49e-02
28,305,r12r,1.36e+03,1.94e-08,2.87e-06
29,305,r11r,1.34e+02,3.74e-07,5.44e-06
30,305,r95,1.00e+02,1.87e-04,2.03e-03
31,305,r70,9.95e+01,4.49e-07,4.85e-06
0,306,r54ra,3.51e-01,3.55e+00,6.42e-01
1,306,r22,3.59e+02,1.45e-06,2.68e-04
2,306,r21,3.77e+01,3.78e-03,7.35e-02
3,306,r54rb,3.24e+02,6.93e-05,1.16e-02
4,306,r3,1.15e+02,3.32e-04,1.97e-02
5,306,r80,7.10e+01,2.19e-03,8.01e-02
6,306,r7rb,3.90e+02,8.78e-05,1.77e-02
7,306,r24,1.08e+02,4.91e-06,2.75e-04
8,306,r23r,3.26e+01,2.42e-05,4.06e-04
9,306,r10c,1.10e+02,1.96e-04,1.12e-02
10,306,r41,7.59e+01,1.66e-04,6.52e-03
11,306,r40,1.23e+02,5.18e-05,3.29e-03
12,306,r6r,7.84e+03,1.65e-06,6.68e-03
13,306,r5r,7.99e+00,4.43e-03,1.82e-02
14,306,r15r,7.53e+01,1.66e-04,6.43e-03
15,306,r14r,1.67e+01,2.39e-03,2.06e-02
16,306,r7ra,2.33e+02,2.23e-04,2.68e-02
17,306,r7rc,5.31e+01,2.35e-04,6.43e-03
18,306,r13r,4.64e+01,6.93e-05,1.66e-03
19,306,r10a,2.41e+02,8.92e-05,1.11e-02
20,306,r1,1.04e+02,3.13e-04,1.68e-02
21,306,r10b,4.10e+02,4.50e-05,9.51e-03
22,306,r29r,2.11e+02,3.31e-07,3.59e-05
23,306,r93,9.97e+01,8.03e-06,4.13e-04
24,306,r8r,2.11e+02,5.61e-05,6.10e-03
25,306,r12r,1.36e+03,1.82e-07,1.28e-04
26,306,r11r,1.34e+02,3.18e-05,2.19e-03
27,306,r70,9.95e+01,1.07e-06,5.49e-05
0,307,r91,1.00e+02,8.88e-05,6.49e-03
1,307,r55b,5.88e+01,3.64e-04,1.56e-02
2,307,r55a,9.13e+01,2.78e-04,1.85e-02
3,307,r22,3.59e+02,8.29e-07,2.17e-04
4,307,r21,3.77e+01,4.17e-03,1.15e-01
5,307,r3,1.15e+02,8.97e-04,7.52e-02
6,307,rr9,1.32e+01,4.90e-03,4.74e-02
7,307,r7rb,3.90e+02,1.80e-04,5.13e-02
8,307,r24,1.08e+02,1.82e-06,1.44e-04
9,307,r23r,3.26e+01,2.13e-05,5.07e-04
10,307,r10c,1.10e+02,2.72e-06,2.19e-04
11,307,r40,1.23e+02,5.97e-04,5.37e-02
12,307,r6r,7.84e+03,7.26e-06,4.15e-02
13,307,r5r,7.99e+00,2.22e-02,1.29e-01
14,307,r14r,1.67e+01,1.14e-04,1.40e-03
15,307,r2r,3.22e+02,7.54e-05,1.77e-02
16,307,r28r,2.82e+02,8.31e-05,1.71e-02
17,307,r27b,1.79e+02,6.64e-04,8.69e-02
18,307,r7ra,2.33e+02,7.48e-04,1.27e-01
19,307,r7rc,5.31e+01,1.15e-03,4.46e-02
20,307,r13r,4.64e+01,2.51e-06,8.48e-05
21,307,r10a,2.41e+02,5.29e-07,9.30e-05
22,307,r1,1.04e+02,1.22e-03,9.29e-02
23,307,r10b,4.10e+02,1.67e-07,4.99e-05
24,307,r29r,2.11e+02,3.45e-05,5.31e-03
25,307,r93,9.97e+01,8.03e-06,5.84e-04
26,307,r8r,2.11e+02,2.43e-04,3.74e-02
27,307,r12r,1.36e+03,9.32e-09,9.26e-06
28,307,r11r,1.34e+02,1.80e-07,1.76e-05
29,307,r95,1.00e+02,1.90e-04,1.39e-02
30,307,r70,9.95e+01,8.74e-07,6.34e-05
0,308,r54ra,3.51e-01,1.36e+01,6.19e-01
1,308,r22,3.59e+02,1.83e-05,8.46e-04
2,308,r21,3.77e+01,1.95e-02,9.48e-02
3,308,r54rb,3.24e+02,3.58e-04,1.50e-02
4,308,r26r,8.92e+01,6.48e-05,7.47e-04
5,308,r3,1.15e+02,3.43e-03,5.10e-02
6,308,r7rb,3.90e+02,5.82e-04,2.93e-02
7,308,r25,1.51e+02,5.60e-04,1.09e-02
8,308,r24,1.08e+02,8.38e-05,1.17e-03
9,308,r23r,3.26e+01,3.76e-04,1.58e-03
10,308,r10c,1.10e+02,4.12e-06,5.87e-05
11,308,r40,1.23e+02,3.12e-04,4.97e-03
12,308,r6r,7.84e+03,1.04e-05,1.05e-02
13,308,r5r,7.99e+00,2.84e-02,2.93e-02
14,308,r14r,1.67e+01,8.91e-05,1.93e-04
15,308,r2r,3.22e+02,1.47e-04,6.09e-03
16,308,r28r,2.82e+02,2.72e-05,9.88e-04
17,308,r27b,1.79e+02,9.28e-05,2.15e-03
18,308,r7ra,2.33e+02,1.36e-03,4.10e-02
19,308,r7rc,5.31e+01,1.91e-03,1.31e-02
20,308,r13r,4.64e+01,3.91e-06,2.35e-05
21,308,r10a,2.41e+02,1.23e-06,3.82e-05
22,308,r1,1.04e+02,3.94e-03,5.29e-02
23,308,r10b,4.10e+02,5.30e-07,2.81e-05
24,308,r29r,2.11e+02,1.37e-06,3.72e-05
25,308,r93,9.97e+01,8.03e-06,1.03e-04
26,308,r8r,2.11e+02,4.70e-04,1.28e-02
27,308,r12r,1.36e+03,1.91e-08,3.36e-06
28,308,r11r,1.34e+02,3.67e-07,6.36e-06
29,308,r95,1.00e+02,9.85e-05,1.27e-03
30,308,r70,9.95e+01,5.07e-07,6.52e-06
0,21,r22,3.59e+02,1.24e-04,1.98e-02
1,21,r21,3.77e+01,3.99e-03,6.68e-02
2,21,r26r,8.92e+01,4.03e-04,1.60e-02
3,21,r27,7.81e+01,1.04e-02,3.61e-01
4,21,rr9,1.32e+01,1.98e-02,1.16e-01
5,21,r25,1.51e+02,9.83e-04,6.58e-02
6,21,r24,1.08e+02,4.18e-04,2.01e-02
7,21,r23r,3.26e+01,1.80e-03,2.62e-02
8,21,r40,1.23e+02,6.35e-04,3.48e-02
9,21,r6r,7.84e+03,3.24e-06,1.13e-02
10,21,r5r,7.99e+00,4.49e-03,1.59e-02
11,21,r15r,7.53e+01,1.35e-04,4.54e-03
12,21,r14r,1.67e+01,1.20e-04,8.96e-04
13,21,r2r,3.22e+02,2.98e-05,4.26e-03
14,21,r4,2.54e+01,1.77e-03,2.00e-02
15,21,r27b,1.79e+02,1.04e-03,8.28e-02
16,21,r13r,4.64e+01,6.76e-05,1.39e-03
17,21,r61r,7.99e+01,1.72e-03,6.11e-02
18,21,r10a,2.41e+02,1.60e-04,1.72e-02
19,21,r1,1.04e+02,4.45e-04,2.06e-02
20,21,r10b,4.10e+02,7.54e-05,1.37e-02
21,21,r60,2.47e+02,1.41e-04,1.55e-02
22,21,r93,9.97e+01,8.03e-06,3.56e-04
23,21,r12r,1.36e+03,4.62e-07,2.80e-04
24,21,r11r,1.34e+02,7.15e-06,4.26e-04
25,21,r95,1.00e+02,5.37e-05,2.39e-03
26,21,r70,9.95e+01,1.36e-05,6.02e-04
0,315,r22,3.59e+02,1.78e-05,8.04e-03
1,315,r21,3.77e+01,1.17e-03,5.54e-02
2,315,r26r,8.92e+01,6.65e-05,7.46e-03
3,315,r3,1.15e+02,7.74e-04,1.12e-01
4,315,r27,7.81e+01,1.71e-03,1.69e-01
5,315,r7rb,3.90e+02,8.76e-05,4.30e-02
6,315,r25,1.51e+02,1.76e-04,3.34e-02
7,315,r24,1.08e+02,4.85e-05,6.62e-03
8,315,r23r,3.26e+01,3.63e-04,1.49e-02
9,315,r10c,1.10e+02,2.85e-06,3.95e-04
10,315,r40,1.23e+02,1.94e-04,3.01e-02
11,315,r6r,7.84e+03,3.64e-06,3.59e-02
12,315,r5r,7.99e+00,1.06e-02,1.06e-01
13,315,r14r,1.67e+01,1.73e-04,3.66e-03
14,315,r2r,3.22e+02,4.90e-05,1.98e-02
15,315,r28r,2.82e+02,1.19e-05,4.22e-03
16,315,r27b,1.79e+02,3.99e-04,8.99e-02
17,315,r7ra,2.33e+02,4.56e-04,1.34e-01
18,315,r7rc,5.31e+01,4.61e-04,3.08e-02
19,315,r13r,4.64e+01,2.66e-06,1.55e-04
20,315,r10a,2.41e+02,5.87e-07,1.78e-04
21,315,r1,1.04e+02,4.34e-04,5.68e-02
22,315,r10b,4.10e+02,1.99e-07,1.03e-04
23,315,r94,1.00e+02,3.52e-05,4.44e-03
24,315,r53r,1.39e+02,1.36e-05,2.38e-03
25,315,r29r,2.11e+02,2.09e-06,5.53e-04
26,315,r93,9.97e+01,8.03e-06,1.01e-03
27,315,r8r,2.11e+02,9.46e-05,2.51e-02
28,315,r12r,1.36e+03,1.06e-08,1.81e-05
29,315,r11r,1.34e+02,2.02e-07,3.41e-05
30,315,r95,1.00e+02,3.73e-05,4.70e-03
31,315,r70,9.95e+01,9.18e-07,1.15e-04
0,322,r22,3.59e+02,2.25e-05,1.08e-02
1,322,r21,3.77e+01,1.06e-03,5.34e-02
2,322,r26r,8.92e+01,5.63e-05,6.71e-03
3,322,r3,1.15e+02,5.26e-04,8.09e-02
4,322,rr9,1.32e+01,3.11e-03,5.50e-02
5,322,r80,7.10e+01,3.04e-03,2.88e-01
6,322,r7rb,3.90e+02,7.96e-05,4.15e-02
7,322,r25,1.51e+02,1.85e-04,3.72e-02
8,322,r24,1.08e+02,6.42e-05,9.31e-03
9,322,r23r,3.26e+01,4.04e-04,1.76e-02
10,322,r10c,1.10e+02,2.10e-06,3.10e-04
11,322,r40,1.23e+02,2.28e-04,3.76e-02
12,322,r6r,7.84e+03,2.51e-06,2.62e-02
13,322,r5r,7.99e+00,7.45e-03,7.95e-02
14,322,r15r,7.53e+01,6.72e-06,6.76e-04
15,322,r14r,1.67e+01,5.39e-05,1.21e-03
16,322,r2r,3.22e+02,3.42e-05,1.47e-02
17,322,r28r,2.82e+02,1.29e-05,4.84e-03
18,322,r27b,1.79e+02,5.49e-05,1.31e-02
19,322,r7ra,2.33e+02,2.69e-04,8.37e-02
20,322,r7rc,5.31e+01,3.94e-04,2.80e-02
21,322,r13r,4.64e+01,2.14e-06,1.33e-04
22,322,r10a,2.41e+02,4.85e-07,1.56e-04
23,322,r1,1.04e+02,5.40e-04,7.51e-02
24,322,r10b,4.10e+02,1.83e-07,1.00e-04
25,322,r29r,2.11e+02,1.33e-06,3.75e-04
26,322,r93,9.97e+01,8.03e-06,1.07e-03
27,322,r8r,2.11e+02,8.63e-05,2.43e-02
28,322,r12r,1.36e+03,1.32e-08,2.40e-05
29,322,r95,1.00e+02,6.21e-05,8.30e-03
30,322,r70,9.95e+01,6.34e-07,8.43e-05
0,325,r22,3.59e+02,3.84e-05,1.09e-02
1,325,r21,3.77e+01,1.76e-03,5.27e-02
2,325,r26r,8.92e+01,1.57e-04,1.11e-02
3,325,r3,1.15e+02,8.56e-04,7.82e-02
4,325,r27,7.81e+01,3.32e-03,2.06e-01
5,325,rr9,1.32e+01,5.64e-03,5.93e-02
6,325,r7rb,3.90e+02,1.22e-04,3.78e-02
7,325,r25,1.51e+02,3.71e-04,4.44e-02
8,325,r24,1.08e+02,1.15e-04,9.89e-03
9,325,r23r,3.26e+01,6.93e-04,1.80e-02
10,325,r10c,1.10e+02,2.07e-06,1.81e-04
11,325,r40,1.23e+02,3.79e-04,3.71e-02
12,325,r6r,7.84e+03,4.05e-06,2.52e-02
13,325,r5r,7.99e+00,1.21e-02,7.65e-02
14,325,r15r,7.53e+01,7.15e-06,4.28e-04
15,325,r14r,1.67e+01,5.80e-05,7.71e-04
16,325,r2r,3.22e+02,5.57e-05,1.43e-02
17,325,r28r,2.82e+02,1.89e-05,4.23e-03
18,325,r27b,1.79e+02,7.04e-04,1.00e-01
19,325,r7ra,2.33e+02,4.42e-04,8.19e-02
20,325,r7rc,5.31e+01,6.22e-04,2.63e-02
21,325,r13r,4.64e+01,2.10e-06,7.73e-05
22,325,r10a,2.41e+02,4.67e-07,8.95e-05
23,325,r1,1.04e+02,9.06e-04,7.48e-02
24,325,r10b,4.10e+02,1.74e-07,5.66e-05
25,325,r29r,2.11e+02,2.33e-06,3.90e-04
26,325,r93,9.97e+01,8.03e-06,6.36e-04
27,325,r8r,2.11e+02,1.35e-04,2.26e-02
28,325,r12r,1.36e+03,1.27e-08,1.38e-05
29,325,r95,1.00e+02,6.82e-05,5.42e-03
30,325,r70,9.95e+01,6.51e-07,5.15e-05
0,327,r22,3.59e+02,1.46e-05,8.84e-03
1,327,r21,3.77e+01,9.13e-04,5.81e-02
2,327,r26r,8.92e+01,3.30e-05,4.97e-03
3,327,r3,1.15e+02,5.47e-04,1.06e-01
4,327,r80,7.10e+01,2.13e-03,2.55e-01
5,327,r7rb,3.90e+02,7.23e-05,4.76e-02
6,327,r25,1.51e+02,1.14e-04,2.90e-02
7,327,r24,1.08e+02,3.85e-05,7.05e-03
8,327,r23r,3.26e+01,2.69e-04,1.48e-02
9,327,r10c,1.10e+02,2.96e-06,5.50e-04
10,327,r40,1.23e+02,1.52e-04,3.16e-02
11,327,r6r,7.84e+03,2.60e-06,3.44e-02
