,efm,reaction,kcat,dq/dk,dlogq/dlogk
0,3,r22,3.59e+02,4.01e-06,3.24e-03
1,3,r21,3.77e+01,3.24e-04,2.75e-02
2,3,rr9,1.32e+01,2.88e-03,8.58e-02
3,3,r80,7.10e+01,3.70e-03,5.91e-01
4,3,r24,1.08e+02,9.80e-06,2.40e-03
5,3,r23r,3.26e+01,3.91e-05,2.87e-03
6,3,r10c,1.10e+02,1.39e-04,3.45e-02
7,3,r40,1.23e+02,2.87e-05,7.97e-03
8,3,r6r,7.84e+03,7.52e-08,1.33e-03
9,3,r5r,7.99e+00,9.73e-05,1.75e-03
10,3,r15r,7.53e+01,6.86e-05,1.16e-02
11,3,r14r,1.67e+01,1.50e-03,5.66e-02
12,3,r2r,3.22e+02,1.20e-05,8.72e-03
13,3,r4,2.54e+01,1.33e-04,7.61e-03
14,3,r13r,4.64e+01,1.31e-04,1.36e-02
15,3,r61r,7.99e+01,2.90e-04,5.21e-02
16,3,r10a,2.41e+02,5.48e-05,2.97e-02
17,3,r1,1.04e+02,1.05e-04,2.46e-02
18,3,r10b,4.10e+02,2.65e-05,2.45e-02
19,3,r60,2.47e+02,4.50e-06,2.51e-03
20,3,r93,9.97e+01,8.03e-06,1.80e-03
21,3,r12r,1.36e+03,3.59e-07,1.10e-03
22,3,r11r,1.34e+02,2.41e-05,7.27e-03
23,3,r70,9.95e+01,1.19e-06,2.67e-04
0,20,r22,3.59e+02,5.79e-05,1.82e-02
1,20,r21,3.77e+01,1.93e-03,6.35e-02
2,20,r26r,8.92e+01,2.07e-04,1.62e-02
3,20,r27,7.81e+01,6.08e-03,4.15e-01
4,20,rr9,1.32e+01,9.22e-03,1.07e-01
5,20,r25,1.51e+02,4.93e-04,6.49e-02
6,20,r24,1.08e+02,1.89e-04,1.79e-02
7,20,r23r,3.26e+01,8.84e-04,2.52e-02
8,20,r10c,1.10e+02,5.05e-06,4.86e-04
9,20,r41,7.59e+01,2.74e-04,1.82e-02
10,20,r40,1.23e+02,3.41e-04,3.67e-02
11,20,r6r,7.84e+03,1.06e-06,7.28e-03
12,20,r5r,7.99e+00,1.46e-03,1.02e-02
13,20,r14r,1.67e+01,5.78e-04,8.47e-03
14,20,r2r,3.22e+02,9.68e-06,2.72e-03
15,20,r4,2.54e+01,4.99e-04,1.11e-02
16,20,r28r,2.82e+02,2.69e-05,6.62e-03
17,20,r27b,1.79e+02,5.19e-04,8.13e-02
18,20,r13r,4.64e+01,5.23e-06,2.12e-04
19,20,r61r,7.99e+01,6.29e-04,4.39e-02
20,20,r10a,2.41e+02,5.28e-05,1.11e-02
21,20,r1,1.04e+02,1.55e-04,1.41e-02
22,20,r10b,4.10e+02,2.51e-05,8.98e-03
23,20,r60,2.47e+02,4.52e-05,9.78e-03
24,20,r93,9.97e+01,8.03e-06,7.00e-04
25,20,r12r,1.36e+03,2.46e-08,2.93e-05
26,20,r11r,1.34e+02,4.47e-07,5.24e-05
27,20,r70,9.95e+01,9.58e-07,8.33e-05
0,288,r22,3.59e+02,2.71e-06,1.56e-03
1,288,r21,3.77e+01,2.60e-04,1.57e-02
2,288,r3,1.15e+02,4.40e-04,8.11e-02
3,288,r27,7.81e+01,2.37e-03,2.97e-01
4,288,r7rb,3.90e+02,4.17e-05,2.61e-02
5,288,r24,1.08e+02,5.13e-06,8.91e-04
6,288,r23r,3.26e+01,3.46e-05,1.81e-03
7,288,r10c,1.10e+02,1.46e-04,2.58e-02
8,288,r41,7.59e+01,3.52e-05,4.28e-03
9,288,r40,1.23e+02,7.90e-05,1.56e-02
10,288,r6r,7.84e+03,2.21e-06,2.77e-02
11,288,r5r,7.99e+00,6.16e-03,7.88e-02
12,288,r15r,7.53e+01,2.95e-04,3.56e-02
13,288,r14r,1.67e+01,4.54e-03,1.22e-01
14,288,r27b,1.79e+02,3.01e-04,8.64e-02
15,288,r7ra,2.33e+02,1.60e-04,5.99e-02
16,288,r7rc,5.31e+01,2.23e-04,1.90e-02
17,288,r13r,4.64e+01,7.07e-05,5.25e-03
18,288,r10a,2.41e+02,3.34e-05,1.29e-02
19,288,r1,1.04e+02,2.24e-04,3.72e-02
20,288,r10b,4.10e+02,1.61e-05,1.05e-02
21,288,r94,1.00e+02,4.97e-05,7.96e-03
22,288,r53r,1.39e+02,1.81e-05,4.04e-03
23,288,r29r,2.11e+02,8.22e-07,2.77e-04
24,288,r93,9.97e+01,8.03e-06,1.28e-03
25,288,r8r,2.11e+02,4.35e-05,1.47e-02
26,288,r12r,1.36e+03,5.06e-08,1.10e-04
27,288,r11r,1.34e+02,3.27e-05,7.01e-03
28,288,r70,9.95e+01,8.51e-07,1.36e-04
0,291,r91,1.00e+02,1.97e-05,4.21e-03
1,291,r55b,5.88e+01,6.45e-05,8.10e-03
2,291,r55a,9.13e+01,5.54e-05,1.08e-02
