!!SBtab TableName='RateConstant' TableType='Quantity' Document='Carlson model' SBtabVersion='1.0'					
!QuantityType	!Reaction	!Compound	!Value	!Unit	!ID
equilibrium constant	R54ra		0.0022582413	dimensionless	kEQ_R1
equilibrium constant	R54rb		2767.6607	dimensionless	kEQ_R2
equilibrium constant	R13r		3.6538527	dimensionless	kEQ_R3
equilibrium constant	R26r		0.52174352	dimensionless	kEQ_R4
equilibrium constant	R15r		37.50713	dimensionless	kEQ_R5
equilibrium constant	R96		1.0039831	dimensionless	kEQ_R6
equilibrium constant	R94		1.0023798	dimensionless	kEQ_R7
equilibrium constant	R95		1.0009465	dimensionless	kEQ_R8
equilibrium constant	R93		0.99061062	dimensionless	kEQ_R9
equilibrium constant	R90		1.0046131	dimensionless	kEQ_R10
equilibrium constant	R91		1.0035039	dimensionless	kEQ_R11
equilibrium constant	R8r		3.5014543	dimensionless	kEQ_R12
equilibrium constant	R10a		0.27692024	dimensionless	kEQ_R13
equilibrium constant	R10b		0.75223626	dimensionless	kEQ_R14
equilibrium constant	R10c		0.019818848	dimensionless	kEQ_R15
equilibrium constant	R28r		4.7316568	dimensionless	kEQ_R16
equilibrium constant	R3		1.1639489	dimensionless	kEQ_R17
equilibrium constant	R70		1.0027421	dimensionless	kEQ_R18
equilibrium constant	R6r		11.249283	dimensionless	kEQ_R19
equilibrium constant	R97r		1.0034668	dimensionless	kEQ_R20
equilibrium constant	R2r		0.50987024	dimensionless	kEQ_R21
equilibrium constant	R55a		0.22758352	dimensionless	kEQ_R22
equilibrium constant	R55b		1.3677156	dimensionless	kEQ_R23
equilibrium constant	R4		5.360918	dimensionless	kEQ_R24
equilibrium constant	R12r		2.3233211	dimensionless	kEQ_R25
equilibrium constant	R1		0.97857957	dimensionless	kEQ_R26
equilibrium constant	R27		6.9747501	dimensionless	kEQ_R27
equilibrium constant	R27b		0.84263136	dimensionless	kEQ_R28
equilibrium constant	R23r		0.073843788	dimensionless	kEQ_R29
equilibrium constant	R9		11.856499	dimensionless	kEQ_R30
equilibrium constant	R14r		0.89996461	dimensionless	kEQ_R31
equilibrium constant	RR9		0.52627971	dimensionless	kEQ_R32
equilibrium constant	R53r		20577.22	dimensionless	kEQ_R33
equilibrium constant	R80		0.94187484	dimensionless	kEQ_R34
equilibrium constant	R82		0.71711115	dimensionless	kEQ_R35
equilibrium constant	R29r		6.1103599e-05	dimensionless	kEQ_R36
equilibrium constant	R7ra		0.088486876	dimensionless	kEQ_R37
equilibrium constant	R7rb		727.33174	dimensionless	kEQ_R38
equilibrium constant	R7rc		0.16087119	dimensionless	kEQ_R39
equilibrium constant	R41		0.015992441	dimensionless	kEQ_R40
equilibrium constant	R40		0.2826712	dimensionless	kEQ_R41
equilibrium constant	R11r		2.3258292	dimensionless	kEQ_R42
equilibrium constant	R42		22.074532	dimensionless	kEQ_R43
equilibrium constant	R5r		0.00029761494	dimensionless	kEQ_R44
equilibrium constant	R25		4.0906559	dimensionless	kEQ_R45
equilibrium constant	R24		1.8431281	dimensionless	kEQ_R46
equilibrium constant	R22		6.4281674	dimensionless	kEQ_R47
equilibrium constant	R21		2.4922103	dimensionless	kEQ_R48
equilibrium constant	R20		49.260684	dimensionless	kEQ_R49
equilibrium constant	R60		21.115915	dimensionless	kEQ_R50
equilibrium constant	R61r		0.0095735331	dimensionless	kEQ_R51
catalytic rate constant geometric mean	R54ra		3.4281723	1/s	kC_R1
catalytic rate constant geometric mean	R54rb		100	1/s	kC_R2
catalytic rate constant geometric mean	R13r		100	1/s	kC_R3
catalytic rate constant geometric mean	R26r		60.45733	1/s	kC_R4
catalytic rate constant geometric mean	R15r		100	1/s	kC_R5
catalytic rate constant geometric mean	R96		100	1/s	kC_R6
catalytic rate constant geometric mean	R94		100	1/s	kC_R7
catalytic rate constant geometric mean	R95		100	1/s	kC_R8
catalytic rate constant geometric mean	R93		100	1/s	kC_R9
catalytic rate constant geometric mean	R90		100	1/s	kC_R10
catalytic rate constant geometric mean	R91		100	1/s	kC_R11
catalytic rate constant geometric mean	R8r		123.75471	1/s	kC_R12
catalytic rate constant geometric mean	R10a		113.26321	1/s	kC_R13
catalytic rate constant geometric mean	R10b		280.79078	1/s	kC_R14
catalytic rate constant geometric mean	R10c		158.4141	1/s	kC_R15
catalytic rate constant geometric mean	R28r		181.31417	1/s	kC_R16
catalytic rate constant geometric mean	R3		94.412172	1/s	kC_R17
catalytic rate constant geometric mean	R70		100	1/s	kC_R18
catalytic rate constant geometric mean	R6r		741.59352	1/s	kC_R19
catalytic rate constant geometric mean	R97r		100	1/s	kC_R20
catalytic rate constant geometric mean	R2r		347.78618	1/s	kC_R21
catalytic rate constant geometric mean	R55a		152.27544	1/s	kC_R22
catalytic rate constant geometric mean	R55b		100	1/s	kC_R23
catalytic rate constant geometric mean	R4		35.719569	1/s	kC_R24
catalytic rate constant geometric mean	R12r		1335.816	1/s	kC_R25
catalytic rate constant geometric mean	R1		100	1/s	kC_R26
catalytic rate constant geometric mean	R27		13.596877	1/s	kC_R27
catalytic rate constant geometric mean	R27b		269.15973	1/s	kC_R28
