!!SBtab TableName='ReactionStoichiometry' TableType='Stoichiometry' Document='Escherichia coli core metabolism, Wortel et al. 2017' HeaderGAMS='parameter stoich(r0,m0)' SBtabVersion='1.0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Reaction,!Compound,!StoichiometricCoefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R91,acetate,-1.
R55b,acetate,1.
R91,acetateExt,1.
R54ra,acetylcoa,-1.
R55a,acetylcoa,-1.
R22,acetylcoa,-1.
R21,acetylcoa,1.
R20,acetylcoa,1.
R54ra,acald,1.
R54rb,acald,-1.
R55a,acetylp,1.
R55b,acetylp,-1.
R26r,adp,-1.
R3,adp,1.
R55b,adp,-1.
R27,adp,-1.
R9,adp,-1.
RR9,adp,2.
R80,adp,-2.
R82,adp,1.
R7rb,adp,-1.
R42,adp,1.
R25,akg,-1.
R24,akg,1.
R26r,atp,1.
R3,atp,-1.
R55b,atp,1.
R27,atp,1.
R9,atp,1.
RR9,atp,-2.
R80,atp,2.
R82,atp,-1.
R7rb,atp,1.
R42,atp,-1.
R82,ATPmain,1.
R23r,citrate,-1.
R22,citrate,1.
R10c,co2,1.
R97r,co2,-1.
R41,co2,1.
R40,co2,-1.
R42,co2,1.
R25,co2,1.
R24,co2,1.
R21,co2,1.
R97r,co2Ext,1.
R54ra,coash,1.
R26r,coash,1.
R55a,coash,1.
R25,coash,-1.
R22,coash,1.
R21,coash,-1.
R20,coash,-1.
R6r,dhap,1.
R5r,dhap,1.
R15r,eryth4p,-1.
R14r,eryth4p,1.
R54rb,etoh,1.
R90,etoh,-1.
R90,ethanolExt,1.
R96,formate,-1.
R20,formate,1.
R96,formateExt,1.
R15r,fru6p,1.
R3,fru6p,-1.
R2r,fru6p,1.
R4,fru6p,1.
R14r,fru6p,1.
R3,frubisp,1.
R4,frubisp,-1.
R5r,frubisp,-1.
R28r,fumarate,-1.
R27,fumarate,1.
R27b,fumarate,-1.
R7ra,dpg,1.
R7rb,dpg,-1.
R7rb,pg3,1.
R7rc,pg3,-1.
R13r,ga3p,1.
R15r,ga3p,1.
R6r,ga3p,-1.
R14r,ga3p,-1.
R7ra,ga3p,-1.
R5r,ga3p,1.
R61r,ga3p,1.
R10a,glu6p,-1.
R2r,glu6p,-1.
R1,glu6p,1.
R10a,glulac6p,1.
R10b,glulac6p,-1.
R10b,gluco6p,1.
R10c,gluco6p,-1.
R60,gluco6p,-1.
R60,kdpg,1.
R61r,kdpg,-1.
R1,glucoseExt,-1.
R23r,isocit,1.
R24,isocit,-1.
R94,lactate,-1.
R53r,lactate,1.
R94,lactateExt,1.
R28r,malate,1.
R29r,malate,-1.
R41,malate,-1.
R54ra,nad,1.
R54rb,nad,1.
R10a,nad,-1.
R10c,nad,-1.
R27b,nad,1.
R53r,nad,1.
R80,nad,1.
R29r,nad,-1.
R7ra,nad,-1.
R41,nad,-1.
R25,nad,-1.
R24,nad,-1.
R21,nad,-1.
R54ra,nadh,-1.
R54rb,nadh,-1.
R10a,nadh,1.
R10c,nadh,1.
R27b,nadh,-1.
R53r,nadh,-1.
R80,nadh,-1.
R29r,nadh,1.
R7ra,nadh,1.
R41,nadh,1.
R25,nadh,1.
R24,nadh,1.
R21,nadh,1.
R93,nh3,1.
R93,nh3Ext,-1.
R29r,oxalo,1.
R40,oxalo,1.
R42,oxalo,-1.
R22,oxalo,-1.
R27,oxygen,-1.
R80,oxygen,-1.
R8r,pep,1.
R1,pep,-1.
R9,pep,-1.
RR9,pep,1.
R40,pep,-1.
R42,pep,1.
R8r,pg,-1.
R7rc,pg,1.
R1,pyr,1.
R9,pyr,1.
RR9,pyr,-1.
R53r,pyr,-1.
R41,pyr,1.
R21,pyr,-1.
R20,pyr,-1.
R61r,pyr,1.
R13r,ribose5p,-1.
R12r,ribose5p,1.
R10c,ribulose5p,1.
R12r,ribulose5p,-1.
R11r,ribulose5p,-1.
R13r,sed7p,1.
R14r,sed7p,-1.
R26r,succ,1.
R95,succ,-1.
R27,succ,-1.
R27b,succ,1.
R26r,succcoa,-1.
R25,succcoa,1.
R95,succinateExt,1.
R13r,xyl5p,-1.
R15r,xyl5p,-1.
R11r,xyl5p,1.
!!SBtab TableName='ParameterKcat' TableType='Reaction' Document='Escherichia coli core metabolism, Wortel et al. 2017' HeaderGAMS='parameter kcat(r0)' SBtabVersion='1.0',,
!Reaction,!Value,
R54ra,0.35130538
R54rb,324.07984
R13r,46.378035
R26r,89.247668
R15r,75.297336
R96,100.1377
R94,100.08231
R95,100.03275
R93,99.67398
R90,100.15944
R91,100.12115
R8r,210.87804
R10a,241.00972
R10b,409.75884
R10c,110.15501
R28r,281.7339
R3,114.97333
R70,99.495737
R6r,7837.8458
R97r,100.11987
R2r,321.86315
R55a,91.274559
R55b,58.805577
R4,25.408547
R12r,1362.0411
R1,103.9461
R27,78.129845
R27b,179.29139
R23r,32.614721
R9,513.1207
R14r,16.742732
RR9,13.243467
R53r,139.44932
R80,4.e6
R82,180.58262
R29r,210.74075
R7ra,233.1813
R7rb,390.18351
R7rc,53.127502
R41,75.937319
R40,123.21682
R11r,133.93446
R42,51.486917
R5r,7.9864233
R25,150.55295
R24,108.49434
R22,358.74774
R21,37.699097
R20,4807.8078
R60,247.49686
R61r,79.863239
!!SBtab TableName='ParameterKeq' TableType='Reaction' Document='Escherichia coli core metabolism, Wortel et al. 2017' HeaderGAMS='parameter keq(r0)' SBtabVersion='1.0',,
!Reaction,!Value,
R11r,2.3258292
R12r,2.3233211
R13r,3.6538527
R14r,0.89996461
R15r,37.50713
R23r,0.073843788
R26r,0.52174352
R28r,4.7316568
R29r,0.000061103599
R2r,0.50987024
R53r,20577.22
R54ra,0.0022582413
R54rb,2767.6607
R5r,0.00029761494
R61r,0.0095735331
R6r,11.249283
