,efm,reaction,dq/dKeq,dlogq/dlogKeq
0,3,R1,0.00e+00,0.00e+00
1,3,R10a,0.00e+00,0.00e+00
2,3,R10b,0.00e+00,0.00e+00
3,3,R10c,0.00e+00,0.00e+00
4,3,R11r,-3.19e-04,-4.67e-03
5,3,R12r,-2.67e-04,-3.90e-03
6,3,R13r,-6.15e-05,-1.42e-03
7,3,R14r,-1.90e-03,-1.08e-02
8,3,R15r,-5.01e-06,-1.18e-03
9,3,R21,0.00e+00,0.00e+00
10,3,R22,0.00e+00,0.00e+00
11,3,R23r,-8.46e-04,-3.93e-04
12,3,R24,0.00e+00,0.00e+00
13,3,R2r,1.05e-02,3.37e-02
14,3,R4,0.00e+00,0.00e+00
15,3,R40,0.00e+00,0.00e+00
16,3,R5r,2.40e+00,4.50e-03
17,3,R60,0.00e+00,0.00e+00
18,3,R61r,-2.90e-02,-1.75e-03
19,3,R6r,-1.16e-05,-8.22e-04
20,3,R80,0.00e+00,0.00e+00
21,3,R93,0.00e+00,0.00e+00
22,3,RR9,0.00e+00,0.00e+00
23,4,R1,0.00e+00,0.00e+00
24,4,R10a,0.00e+00,0.00e+00
25,4,R10b,0.00e+00,0.00e+00
26,4,R10c,0.00e+00,0.00e+00
27,4,R11r,-8.28e-03,-1.16e-02
28,4,R12r,-6.82e-03,-9.53e-03
29,4,R13r,-2.32e-03,-5.09e-03
30,4,R14r,-1.31e-02,-7.09e-03
31,4,R15r,-9.74e-05,-2.20e-03
32,4,R21,0.00e+00,0.00e+00
33,4,R22,0.00e+00,0.00e+00
34,4,R23r,-2.72e-02,-1.21e-03
35,4,R24,0.00e+00,0.00e+00
36,4,R27,0.00e+00,0.00e+00
37,4,R27b,0.00e+00,0.00e+00
38,4,R2r,6.24e-02,1.91e-02
39,4,R4,0.00e+00,0.00e+00
40,4,R40,0.00e+00,0.00e+00
41,4,R5r,5.13e+00,9.19e-04
42,4,R60,0.00e+00,0.00e+00
43,4,R61r,-1.68e-01,-9.68e-04
44,4,R6r,-3.10e-05,-2.10e-04
45,4,R93,0.00e+00,0.00e+00
46,4,RR9,0.00e+00,0.00e+00
47,7,R1,0.00e+00,0.00e+00
48,7,R10a,0.00e+00,0.00e+00
49,7,R10b,0.00e+00,0.00e+00
50,7,R10c,0.00e+00,0.00e+00
51,7,R11r,-1.21e-04,-6.56e-05
52,7,R12r,-1.66e-04,-8.98e-05
53,7,R13r,-8.45e-06,-7.18e-06
54,7,R14r,-1.15e-04,-2.41e-05
55,7,R21,0.00e+00,0.00e+00
56,7,R22,0.00e+00,0.00e+00
57,7,R23r,-8.45e-01,-1.45e-02
58,7,R24,0.00e+00,0.00e+00
59,7,R25,0.00e+00,0.00e+00
60,7,R26r,-9.92e-02,-1.20e-02
61,7,R27,0.00e+00,0.00e+00
62,7,R27b,0.00e+00,0.00e+00
