,efm,reaction,dq/dKeq,dlogq/dlogKeq
63,7,r2r,6.00e-02,1.39e-02
64,7,r4,0.00e+00,0.00e+00
65,7,r40,0.00e+00,0.00e+00
66,7,r5r,1.56e+02,2.10e-02
67,7,r60,0.00e+00,0.00e+00
68,7,r61r,-8.91e-02,-3.87e-04
69,7,r6r,-2.54e-03,-1.29e-02
70,7,r93,0.00e+00,0.00e+00
71,7,r95,0.00e+00,0.00e+00
72,7,rr9,0.00e+00,0.00e+00
73,9,r1,0.00e+00,0.00e+00
74,9,r10a,0.00e+00,0.00e+00
75,9,r10b,0.00e+00,0.00e+00
76,9,r10c,0.00e+00,0.00e+00
77,9,r11r,-6.10e-05,-2.04e-04
78,9,r12r,-8.52e-05,-2.85e-04
79,9,r13r,-5.45e-06,-2.87e-05
80,9,r14r,-6.21e-05,-8.04e-05
81,9,r21,0.00e+00,0.00e+00
82,9,r22,0.00e+00,0.00e+00
83,9,r23r,-1.19e-01,-1.26e-02
84,9,r24,0.00e+00,0.00e+00
85,9,r25,0.00e+00,0.00e+00
86,9,r26r,-2.32e-03,-1.74e-03
87,9,r2r,1.91e-02,1.40e-02
88,9,r4,0.00e+00,0.00e+00
89,9,r40,0.00e+00,0.00e+00
90,9,r5r,4.12e+01,1.76e-02
91,9,r60,0.00e+00,0.00e+00
92,9,r61r,-2.36e-02,-3.25e-04
93,9,r6r,-6.37e-04,-1.03e-02
94,9,r80,0.00e+00,0.00e+00
95,9,r93,0.00e+00,0.00e+00
96,9,r95,0.00e+00,0.00e+00
97,9,rr9,0.00e+00,0.00e+00
98,12,r1,0.00e+00,0.00e+00
99,12,r10a,0.00e+00,0.00e+00
100,12,r10b,0.00e+00,0.00e+00
101,12,r10c,0.00e+00,0.00e+00
102,12,r11r,2.73e-04,2.86e-04
103,12,r12r,-1.30e-04,-1.36e-04
104,12,r15r,1.78e-04,2.99e-03
105,12,r21,0.00e+00,0.00e+00
106,12,r22,0.00e+00,0.00e+00
107,12,r23r,-4.70e-01,-1.56e-02
108,12,r24,0.00e+00,0.00e+00
109,12,r25,0.00e+00,0.00e+00
110,12,r26r,-5.63e-02,-1.32e-02
111,12,r27,0.00e+00,0.00e+00
112,12,r27b,0.00e+00,0.00e+00
113,12,r2r,5.88e-02,1.35e-02
114,12,r4,0.00e+00,0.00e+00
115,12,r40,0.00e+00,0.00e+00
116,12,r5r,1.61e+02,2.15e-02
117,12,r60,0.00e+00,0.00e+00
118,12,r61r,-8.95e-02,-3.85e-04
119,12,r6r,-2.63e-03,-1.33e-02
120,12,r93,0.00e+00,0.00e+00
121,12,r95,0.00e+00,0.00e+00
122,12,rr9,0.00e+00,0.00e+00
123,13,r1,0.00e+00,0.00e+00
124,13,r10a,0.00e+00,0.00e+00
125,13,r10b,0.00e+00,0.00e+00
126,13,r10c,0.00e+00,0.00e+00
127,13,r12r,-1.23e-04,-4.09e-04
128,13,r13r,-1.70e-05,-8.91e-05
129,13,r14r,-5.04e-05,-6.49e-05
130,13,r15r,6.61e-05,3.55e-03
131,13,r21,0.00e+00,0.00e+00
132,13,r22,0.00e+00,0.00e+00
133,13,r23r,-1.20e-01,-1.27e-02
134,13,r24,0.00e+00,0.00e+00
135,13,r25,0.00e+00,0.00e+00
136,13,r26r,-2.35e-03,-1.76e-03
137,13,r2r,1.87e-02,1.37e-02
138,13,r4,0.00e+00,0.00e+00
139,13,r40,0.00e+00,0.00e+00
140,13,r5r,4.25e+01,1.81e-02
141,13,r60,0.00e+00,0.00e+00
142,13,r61r,-2.36e-02,-3.24e-04
143,13,r6r,-6.62e-04,-1.07e-02
144,13,r80,0.00e+00,0.00e+00
145,13,r93,0.00e+00,0.00e+00
