efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R90,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R97r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
100,0.0,0.0,0.0,0.0,0.449,0.645,45.03,0.268,1.548,0.0,0.0,26.688,21.324,21.118,0.075,0.259,0.0,0.213,0.045,0.0,0.0,0.0,0.0,0.286,0.076,23.906,0.0,0.43,0.729,0.0,0.0,31.325,75.175,0.0,0.0,0.17,78.846,31.442,61.726,0.0,1.042,0.142,0.0,0.086,0.0,0.433,0.393,0.0,0.927,16.866,183.434
105,205.199,12.259,0.0,0.0,0.866,0.0,38.199,0.9,1.548,0.0,0.0,42.397,36.481,42.082,0.08,0.795,0.0,0.182,0.067,0.0,0.0,0.0,0.0,0.343,0.111,30.783,0.0,0.623,0.655,0.0,0.0,32.017,31.41,0.0,0.0,0.326,207.789,87.736,85.047,0.0,2.344,0.172,0.0,0.134,0.0,0.608,0.343,41.956,0.0,28.899,533.724
106,0.0,0.0,0.0,0.0,0.588,0.0,45.635,1.269,1.548,0.0,0.0,29.23,22.821,22.744,0.075,1.231,0.0,0.207,0.053,0.0,0.0,0.0,0.0,0.306,0.087,25.248,0.0,2.294,0.951,0.0,0.0,34.753,68.622,0.0,0.0,0.82,102.844,35.252,66.774,0.0,2.254,0.154,0.0,0.104,0.0,0.546,0.671,7.516,0.0,18.072,232.229
107,11203.002,131.779,0.0,34.282,0.242,69.289,0.0,23.233,1.548,0.0,0.0,108.222,104.285,107.632,0.203,0.0,0.0,0.166,0.025,0.0,0.0,0.0,0.0,0.239,0.181,53.836,0.0,0.0,68.66,0.0,0.0,189.445,0.0,0.0,0.0,0.0,463.56,319.243,184.425,0.0,38.594,0.109,0.0,0.046,28.5,229.508,35.492,0.0,313.424,67.33,1560.441
113,2951.552,32.45,0.0,0.71,0.261,29.094,0.0,0.423,1.548,0.0,9.238,33.588,40.978,42.286,0.216,0.0,0.0,0.173,0.026,0.0,0.0,11.823,19.176,0.241,0.192,21.113,0.0,0.0,1.988,0.0,0.0,30.996,0.0,0.0,0.0,0.0,178.668,116.228,58.985,0.0,2.145,0.111,0.0,0.049,0.536,6.008,1.562,0.0,132.668,26.116,558.844
114,272.598,7.208,0.0,0.527,0.279,3.071,36.182,0.359,1.548,0.0,0.0,40.12,35.513,39.65,0.094,0.0,0.0,0.162,0.031,0.0,0.0,0.0,0.0,0.253,0.083,29.234,0.0,0.0,1.388,0.0,0.0,38.15,38.005,0.0,0.0,0.0,105.282,70.498,80.145,0.0,1.451,0.121,0.0,0.059,0.445,2.052,0.891,0.0,43.865,27.178,316.171
126,13076.485,268.411,0.0,0.0,3.011,0.0,0.0,0.789,1.548,0.0,0.0,80.145,118.494,138.774,0.138,0.682,0.0,0.364,0.159,0.0,0.0,0.0,0.0,0.606,0.257,52.156,0.0,0.473,0.763,0.0,0.0,56.906,0.0,0.0,0.0,0.129,1633.33,816.159,135.885,0.0,3.061,0.266,0.0,0.334,0.0,1.214,0.576,619.183,0.0,82.624,4439.985
136,13026.813,267.199,1.102,0.0,4.78,0.0,0.0,0.608,1.548,0.0,0.0,78.985,117.591,137.734,0.0,0.526,0.0,0.545,0.429,0.0,0.0,0.0,0.0,1.848,0.571,51.685,0.0,0.365,0.752,0.0,0.986,55.261,0.0,0.0,0.0,0.091,1621.473,810.578,134.039,0.0,2.623,0.846,0.0,0.964,0.0,1.179,0.553,616.497,0.0,82.132,4421.086
137,164.401,10.491,0.303,0.0,1.294,0.0,38.281,0.697,1.548,0.0,0.0,40.902,34.987,40.068,0.0,0.617,0.0,0.256,0.176,0.0,0.0,0.0,0.0,0.864,0.233,30.157,0.0,0.489,0.649,0.0,0.398,30.666,31.975,0.0,0.0,0.255,190.828,80.832,82.699,0.0,1.988,0.447,0.0,0.376,0.0,0.588,0.332,37.845,0.0,27.77,492.865
140,0.0,0.0,0.219,0.0,0.927,0.0,45.631,0.982,1.548,0.0,0.0,28.643,22.601,22.508,0.0,0.953,0.0,0.271,0.143,0.0,0.0,0.0,0.0,0.753,0.19,25.028,0.0,1.805,0.946,0.0,0.33,32.936,69.415,0.0,0.0,0.637,100.943,34.385,65.663,0.0,1.935,0.392,0.0,0.297,0.0,0.541,0.664,7.57,0.0,17.93,230.255
