,efm,reaction,metabolite,dq/dKm,dlogq/dlogKm,dmu/dKm,dlogmu/dlogKm
64,1449,R91,acetate,4.46e-03,5.19e-04,-6.55e-04,-2.30e-06
65,1449,R91,acetateExt,-4.04e-04,-4.71e-05,5.94e-05,2.09e-07
66,1478,R91,acetate,4.65e-03,5.39e-04,-6.77e-04,-2.41e-06
67,1478,R91,acetateExt,-4.22e-04,-4.89e-05,6.15e-05,2.19e-07
68,1479,R91,acetate,4.07e-03,2.55e-03,-8.15e-03,-2.68e-05
69,1479,R91,acetateExt,-3.70e-04,-2.31e-04,7.40e-04,2.43e-06
70,1503,R91,acetate,4.30e-03,2.59e-03,-8.20e-03,-2.72e-05
71,1503,R91,acetateExt,-3.91e-04,-2.35e-04,7.44e-04,2.47e-06
72,1555,R91,acetate,8.06e-05,7.89e-06,-8.66e-06,-1.09e-09
73,1555,R91,acetateExt,-7.32e-06,-7.17e-07,7.86e-07,9.92e-11
74,1563,R91,acetate,3.29e-04,1.96e-04,-6.21e-04,-1.32e-07
75,1563,R91,acetateExt,-2.99e-05,-1.78e-05,5.64e-05,1.20e-08
76,165,R91,acetate,4.49e-03,5.18e-04,-6.49e-04,-2.30e-06
77,165,R91,acetateExt,-4.08e-04,-4.71e-05,5.89e-05,2.09e-07
78,190,R91,acetate,4.65e-03,5.30e-04,-6.58e-04,-2.38e-06
79,190,R91,acetateExt,-4.22e-04,-4.82e-05,5.97e-05,2.16e-07
80,195,R91,acetate,4.09e-03,2.53e-03,-8.09e-03,-2.67e-05
81,195,R91,acetateExt,-3.71e-04,-2.30e-04,7.34e-04,2.42e-06
82,203,R91,acetate,4.27e-03,2.54e-03,-8.02e-03,-2.69e-05
83,203,R91,acetateExt,-3.88e-04,-2.31e-04,7.28e-04,2.44e-06
84,259,R91,acetate,2.93e-03,1.00e-04,-4.32e-05,-1.06e-07
85,259,R91,acetateExt,-2.66e-04,-9.10e-06,3.92e-06,9.60e-09
86,270,R91,acetate,2.17e-03,3.20e-04,-4.86e-04,-5.42e-07
87,270,R91,acetateExt,-1.97e-04,-2.91e-05,4.41e-05,4.93e-08
88,278,R91,acetate,1.62e-03,1.67e-04,-1.92e-04,-3.28e-07
89,278,R91,acetateExt,-1.47e-04,-1.52e-05,1.74e-05,2.98e-08
90,282,R91,acetate,1.95e-03,1.19e-03,-3.77e-03,-5.08e-06
91,282,R91,acetateExt,-1.77e-04,-1.08e-04,3.42e-04,4.62e-07
92,291,R91,acetate,1.60e-03,1.75e-04,-2.09e-04,-3.86e-07
93,291,R91,acetateExt,-1.45e-04,-1.59e-05,1.90e-05,3.51e-08
94,297,R91,acetate,2.16e-03,1.51e-03,-4.93e-03,-7.36e-06
95,297,R91,acetateExt,-1.96e-04,-1.37e-04,4.48e-04,6.69e-07
96,307,R91,acetate,1.66e-02,1.04e-03,-7.86e-04,-6.37e-06
97,307,R91,acetateExt,-1.50e-03,-9.48e-05,7.14e-05,5.79e-07
98,328,R91,acetate,1.65e-02,1.05e-03,-7.96e-04,-6.42e-06
99,328,R91,acetateExt,-1.49e-03,-9.52e-05,7.23e-05,5.83e-07
100,330,R91,acetate,5.13e-03,4.46e-04,-4.43e-04,-1.66e-06
101,330,R91,acetateExt,-4.66e-04,-4.05e-05,4.02e-05,1.51e-07
102,333,R91,acetate,3.34e-03,3.15e-04,-3.36e-04,-1.14e-06
103,333,R91,acetateExt,-3.03e-04,-2.86e-05,3.05e-05,1.03e-07
104,346,R91,acetate,5.52e-03,1.27e-03,-2.62e-03,-8.51e-06
105,346,R91,acetateExt,-5.01e-04,-1.16e-04,2.37e-04,7.74e-07
106,349,R91,acetate,2.59e-03,4.84e-05,-1.18e-05,-3.92e-08
107,349,R91,acetateExt,-2.35e-04,-4.40e-06,1.07e-06,3.56e-09
108,354,R91,acetate,5.08e-03,1.20e-03,-2.49e-03,-7.52e-06
109,354,R91,acetateExt,-4.61e-04,-1.09e-04,2.26e-04,6.84e-07
110,356,R91,acetate,2.18e-03,3.97e-05,-9.44e-06,-2.89e-08
111,356,R91,acetateExt,-1.98e-04,-3.61e-06,8.57e-07,2.62e-09
112,362,R91,acetate,2.22e-03,4.40e-05,-1.14e-05,-3.48e-08
113,362,R91,acetateExt,-2.01e-04,-4.00e-06,1.03e-06,3.16e-09
114,364,R91,acetate,7.38e-03,8.23e-04,-1.00e-03,-3.78e-06
115,364,R91,acetateExt,-6.70e-04,-7.47e-05,9.10e-05,3.43e-07
116,37,R91,acetate,1.16e-02,7.13e-04,-5.24e-04,-3.57e-06
117,37,R91,acetateExt,-1.06e-03,-6.48e-05,4.76e-05,3.24e-07
118,376,R91,acetate,3.14e-03,3.06e-04,-3.34e-04,-1.13e-06
119,376,R91,acetateExt,-2.85e-04,-2.78e-05,3.03e-05,1.02e-07
120,378,R91,acetate,5.55e-03,1.28e-03,-2.65e-03,-8.68e-06
121,378,R91,acetateExt,-5.04e-04,-1.17e-04,2.40e-04,7.88e-07
122,379,R91,acetate,2.58e-03,4.87e-05,-1.20e-05,-3.98e-08
123,379,R91,acetateExt,-2.34e-04,-4.42e-06,1.09e-06,3.61e-09
124,380,R91,acetate,5.06e-03,4.44e-04,-4.45e-04,-1.67e-06
125,380,R91,acetateExt,-4.59e-04,-4.04e-05,4.04e-05,1.52e-07
126,382,R91,acetate,2.13e-03,2.38e-04,-2.90e-04,-8.43e-07
127,382,R91,acetateExt,-1.94e-04,-2.16e-05,2.63e-05,7.66e-08
128,384,R91,acetate,3.36e-03,3.18e-04,-3.40e-04,-1.16e-06
129,384,R91,acetateExt,-3.05e-04,-2.89e-05,3.09e-05,1.06e-07
130,390,R91,acetate,2.21e-03,4.08e-05,-9.82e-06,-3.04e-08
131,390,R91,acetateExt,-2.01e-04,-3.71e-06,8.92e-07,2.76e-09
132,392,R91,acetate,5.16e-03,1.22e-03,-2.54e-03,-7.80e-06
133,392,R91,acetateExt,-4.68e-04,-1.11e-04,2.31e-04,7.09e-07
134,394,R91,acetate,2.25e-03,4.47e-05,-1.16e-05,-3.59e-08
135,394,R91,acetateExt,-2.04e-04,-4.06e-06,1.05e-06,3.26e-09
136,397,R91,acetate,4.72e-03,1.33e-03,-3.09e-03,-9.11e-06
137,397,R91,acetateExt,-4.29e-04,-1.21e-04,2.80e-04,8.28e-07
138,407,R91,acetate,7.46e-03,8.33e-04,-1.02e-03,-3.88e-06
139,407,R91,acetateExt,-6.77e-04,-7.57e-05,9.24e-05,3.52e-07
140,41,R91,acetate,7.19e-03,2.69e-03,-7.22e-03,-3.14e-05
141,41,R91,acetateExt,-6.53e-04,-2.45e-04,6.55e-04,2.85e-06
142,43,R91,acetate,1.18e-02,7.21e-04,-5.30e-04,-3.63e-06
143,43,R91,acetateExt,-1.07e-03,-6.55e-05,4.81e-05,3.30e-07
144,430,R91,acetate,3.63e-03,2.09e-03,-6.55e-03,-1.78e-05
145,430,R91,acetateExt,-3.30e-04,-1.90e-04,5.94e-04,1.62e-06
146,432,R91,acetate,9.18e-05,9.00e-06,-9.89e-06,-1.42e-09
147,432,R91,acetateExt,-8.33e-06,-8.18e-07,8.97e-07,1.29e-10
148,436,R91,acetate,3.19e-03,3.10e-04,-3.38e-04,-1.16e-06
149,436,R91,acetateExt,-2.90e-04,-2.82e-05,3.07e-05,1.05e-07
150,443,R91,acetate,4.85e-03,1.34e-03,-3.06e-03,-9.21e-06
151,443,R91,acetateExt,-4.40e-04,-1.21e-04,2.77e-04,8.37e-07
152,450,R91,acetate,2.15e-03,2.40e-04,-2.93e-04,-8.60e-07
153,450,R91,acetateExt,-1.95e-04,-2.18e-05,2.66e-05,7.81e-08
154,468,R91,acetate,6.02e-04,6.45e-05,-7.62e-05,-7.67e-08
155,468,R91,acetateExt,-5.47e-05,-5.86e-06,6.92e-06,6.97e-09
156,481,R91,acetate,3.72e-03,2.11e-03,-6.60e-03,-1.83e-05
157,481,R91,acetateExt,-3.37e-04,-1.92e-04,5.99e-04,1.66e-06
158,487,R91,acetate,9.40e-04,4.70e-04,-1.41e-03,-1.27e-06
159,487,R91,acetateExt,-8.53e-05,-4.27e-05,1.28e-04,1.15e-07
160,504,R91,acetate,3.72e-04,2.24e-04,-7.10e-04,-1.72e-07
161,504,R91,acetateExt,-3.37e-05,-2.03e-05,6.44e-05,1.56e-08
162,510,R91,acetate,1.93e-03,2.41e-04,-3.22e-04,-8.34e-07
163,510,R91,acetateExt,-1.75e-04,-2.19e-05,2.92e-05,7.58e-08
164,548,R91,acetate,5.99e-04,6.41e-05,-7.57e-05,-7.61e-08
165,548,R91,acetateExt,-5.43e-05,-5.83e-06,6.87e-06,6.91e-09
166,559,R91,acetate,3.39e-03,2.12e-03,-6.80e-03,-1.76e-05
167,559,R91,acetateExt,-3.08e-04,-1.93e-04,6.17e-04,1.60e-06
168,561,R91,acetate,9.29e-04,4.59e-04,-1.37e-03,-1.23e-06
169,561,R91,acetateExt,-8.44e-05,-4.17e-05,1.25e-04,1.12e-07
170,571,R91,acetate,1.95e-03,2.44e-04,-3.26e-04,-8.53e-07
171,571,R91,acetateExt,-1.77e-04,-2.21e-05,2.96e-05,7.75e-08
172,596,R91,acetate,5.29e-04,5.42e-05,-6.17e-05,-4.43e-08
173,596,R91,acetateExt,-4.80e-05,-4.92e-06,5.60e-06,4.03e-09
174,611,R91,acetate,1.64e-02,1.05e-03,-8.06e-04,-6.47e-06
175,611,R91,acetateExt,-1.48e-03,-9.55e-05,7.32e-05,5.88e-07
176,612,R91,acetate,1.36e-03,9.50e-04,-3.11e-03,-2.88e-06
177,612,R91,acetateExt,-1.23e-04,-8.63e-05,2.82e-04,2.61e-07
178,621,R91,acetate,1.63e-02,1.05e-03,-8.15e-04,-6.50e-06
179,621,R91,acetateExt,-1.48e-03,-9.58e-05,7.40e-05,5.91e-07
180,625,R91,acetate,3.46e-03,2.15e-03,-6.87e-03,-1.81e-05
181,625,R91,acetateExt,-3.14e-04,-1.95e-04,6.23e-04,1.65e-06
182,629,R91,acetate,4.98e-03,4.42e-04,-4.47e-04,-1.68e-06
183,629,R91,acetateExt,-4.52e-04,-4.02e-05,4.06e-05,1.52e-07
184,630,R91,acetate,3.38e-03,3.22e-04,-3.45e-04,-1.19e-06
185,630,R91,acetateExt,-3.07e-04,-2.92e-05,3.13e-05,1.08e-07
186,633,R91,acetate,2.56e-03,4.89e-05,-1.21e-05,-4.04e-08
187,633,R91,acetateExt,-2.33e-04,-4.44e-06,1.10e-06,3.67e-09
188,635,R91,acetate,2.24e-03,4.19e-05,-1.02e-05,-3.20e-08
189,635,R91,acetateExt,-2.03e-04,-3.81e-06,9.28e-07,2.91e-09
190,636,R91,acetate,5.57e-03,1.30e-03,-2.68e-03,-8.84e-06
191,636,R91,acetateExt,-5.06e-04,-1.18e-04,2.43e-04,8.03e-07
192,637,R91,acetate,5.24e-03,1.24e-03,-2.59e-03,-8.09e-06
193,637,R91,acetateExt,-4.75e-04,-1.13e-04,2.35e-04,7.35e-07
194,641,R91,acetate,7.54e-03,8.44e-04,-1.03e-03,-3.98e-06
195,641,R91,acetateExt,-6.84e-04,-7.67e-05,9.37e-05,3.62e-07
196,642,R91,acetate,2.27e-03,4.54e-05,-1.18e-05,-3.69e-08
197,642,R91,acetateExt,-2.06e-04,-4.12e-06,1.07e-06,3.35e-09
198,66,R91,acetate,7.30e-03,2.72e-03,-7.26e-03,-3.20e-05
199,66,R91,acetateExt,-6.63e-04,-2.47e-04,6.59e-04,2.90e-06
200,668,R91,acetate,7.54e-04,8.03e-05,-9.43e-05,-1.00e-07
201,668,R91,acetateExt,-6.84e-05,-7.29e-06,8.56e-06,9.10e-09
202,671,R91,acetate,1.13e-03,7.08e-04,-2.26e-03,-2.26e-06
203,671,R91,acetateExt,-1.03e-04,-6.43e-05,2.06e-04,2.06e-07
204,690,R91,acetate,3.24e-03,3.14e-04,-3.43e-04,-1.18e-06
205,690,R91,acetateExt,-2.94e-04,-2.86e-05,3.11e-05,1.08e-07
206,692,R91,acetate,1.54e-03,1.76e-04,-2.19e-04,-3.82e-07
207,692,R91,acetateExt,-1.40e-04,-1.60e-05,1.98e-05,3.47e-08
208,702,R91,acetate,4.90e-03,4.39e-04,-4.47e-04,-1.68e-06
209,702,R91,acetateExt,-4.45e-04,-3.99e-05,4.06e-05,1.53e-07
210,703,R91,acetate,3.45e-03,3.28e-04,-3.51e-04,-1.23e-06
211,703,R91,acetateExt,-3.13e-04,-2.98e-05,3.18e-05,1.12e-07
212,704,R91,acetate,5.60e-03,1.30e-03,-2.69e-03,-8.93e-06
213,704,R91,acetateExt,-5.08e-04,-1.18e-04,2.44e-04,8.11e-07
214,705,R91,acetate,4.97e-03,1.34e-03,-3.03e-03,-9.31e-06
215,705,R91,acetateExt,-4.51e-04,-1.22e-04,2.75e-04,8.46e-07
216,707,R91,acetate,5.32e-03,1.25e-03,-2.61e-03,-8.31e-06
217,707,R91,acetateExt,-4.83e-04,-1.14e-04,2.37e-04,7.55e-07
218,708,R91,acetate,2.27e-03,4.32e-05,-1.07e-05,-3.39e-08
219,708,R91,acetateExt,-2.06e-04,-3.92e-06,9.68e-07,3.08e-09
220,709,R91,acetate,2.54e-03,4.89e-05,-1.23e-05,-4.09e-08
221,709,R91,acetateExt,-2.30e-04,-4.44e-06,1.11e-06,3.72e-09
222,711,R91,acetate,7.62e-03,8.53e-04,-1.04e-03,-4.07e-06
223,711,R91,acetateExt,-6.92e-04,-7.75e-05,9.47e-05,3.70e-07
224,712,R91,acetate,2.30e-03,4.60e-05,-1.20e-05,-3.80e-08
225,712,R91,acetateExt,-2.09e-04,-4.18e-06,1.09e-06,3.46e-09
226,734,R91,acetate,3.33e-03,3.22e-04,-3.49e-04,-1.22e-06
227,734,R91,acetateExt,-3.02e-04,-2.92e-05,3.17e-05,1.11e-07
228,74,R91,acetate,1.23e-02,7.47e-04,-5.46e-04,-3.81e-06
229,74,R91,acetateExt,-1.11e-03,-6.79e-05,4.96e-05,3.46e-07
230,749,R91,acetate,5.11e-03,1.34e-03,-2.96e-03,-9.31e-06
231,749,R91,acetateExt,-4.64e-04,-1.21e-04,2.69e-04,8.46e-07
232,76,R91,acetate,1.18e-02,7.27e-04,-5.35e-04,-3.69e-06
233,76,R91,acetateExt,-1.08e-03,-6.61e-05,4.86e-05,3.36e-07
234,760,R91,acetate,2.11e-03,1.51e-03,-4.96e-03,-7.30e-06
235,760,R91,acetateExt,-1.92e-04,-1.37e-04,4.50e-04,6.63e-07
236,763,R91,acetate,2.17e-03,2.42e-04,-2.96e-04,-8.78e-07
237,763,R91,acetateExt,-1.97e-04,-2.20e-05,2.69e-05,7.98e-08
238,790,R91,acetate,5.95e-04,6.37e-05,-7.52e-05,-7.55e-08
239,790,R91,acetateExt,-5.40e-05,-5.79e-06,6.83e-06,6.86e-09
240,806,R91,acetate,6.96e-05,6.80e-06,-7.45e-06,-8.12e-10
241,806,R91,acetateExt,-6.31e-06,-6.18e-07,6.76e-07,7.38e-11
242,810,R91,acetate,9.18e-04,4.48e-04,-1.33e-03,-1.19e-06
