,efm,reaction,metabolite,dq/dKm,dlogq/dlogKm,dmu/dKm,dlogmu/dlogKm
11333,1414,R27,atp,-4.30e+00,-7.42e-02,2.09e-01,3.87e-02
11334,1414,R27,fumarate,-1.44e+00,-7.47e-02,7.01e-02,3.90e-02
11335,1414,R27,oxygen,1.61e+00,3.82e-01,-7.85e-02,-1.99e-01
11336,1414,R27,succ,1.64e+00,7.91e-02,-7.97e-02,-4.12e-02
11337,1424,R27,adp,3.72e-02,4.86e-02,-3.41e-02,-9.15e-03
11338,1424,R27,atp,-4.00e-01,-3.80e-02,3.66e-01,7.15e-03
11339,1424,R27,fumarate,-9.60e-02,-2.74e-02,8.78e-02,5.17e-03
11340,1424,R27,oxygen,1.35e-01,1.76e-01,-1.24e-01,-3.32e-02
11341,1424,R27,succ,1.56e-01,4.16e-02,-1.43e-01,-7.84e-03
11342,1432,R27,adp,8.08e-03,1.48e-04,-2.64e-06,-2.55e-07
11343,1432,R27,atp,-6.12e-02,-8.17e-05,2.00e-05,1.41e-07
11344,1432,R27,fumarate,-2.20e-02,-8.83e-05,7.19e-06,1.52e-07
11345,1432,R27,oxygen,6.21e-02,1.14e-03,-2.03e-05,-1.96e-06
11346,1432,R27,succ,2.38e-02,8.90e-05,-7.79e-06,-1.53e-07
11347,1434,R27,adp,2.82e-02,4.54e-02,-3.50e-02,-8.17e-03
11348,1434,R27,atp,-3.03e-01,-3.56e-02,3.76e-01,6.41e-03
11349,1434,R27,fumarate,-9.09e-02,-3.21e-02,1.13e-01,5.78e-03
11350,1434,R27,oxygen,1.10e-01,1.78e-01,-1.37e-01,-3.20e-02
11351,1434,R27,succ,1.17e-01,3.84e-02,-1.45e-01,-6.92e-03
11352,1437,R27,adp,3.06e-01,9.79e-02,-2.60e-02,-5.01e-02
11353,1437,R27,atp,-3.20e+00,-7.45e-02,2.72e-01,3.82e-02
11354,1437,R27,fumarate,-1.15e+00,-8.04e-02,9.77e-02,4.12e-02
11355,1437,R27,oxygen,1.20e+00,3.84e-01,-1.02e-01,-1.97e-01
11356,1437,R27,succ,1.25e+00,8.13e-02,-1.06e-01,-4.16e-02
11357,1439,R27,adp,6.16e-02,4.44e-02,-2.21e-02,-2.44e-03
11358,1439,R27,atp,-8.15e-01,-4.28e-02,2.92e-01,2.35e-03
11359,1439,R27,fumarate,-2.71e-01,-4.28e-02,9.69e-02,2.35e-03
11360,1439,R27,oxygen,7.98e-02,5.75e-02,-2.86e-02,-3.16e-03
11361,1439,R27,succ,2.93e-01,4.31e-02,-1.05e-01,-2.37e-03
11362,1441,R27,adp,3.94e-02,4.96e-02,-3.42e-02,-9.37e-03
11363,1441,R27,atp,-4.25e-01,-3.90e-02,3.69e-01,7.36e-03
11364,1441,R27,fumarate,-9.97e-02,-2.75e-02,8.66e-02,5.19e-03
11365,1441,R27,oxygen,1.39e-01,1.76e-01,-1.21e-01,-3.31e-02
11366,1441,R27,succ,1.66e-01,4.27e-02,-1.44e-01,-8.05e-03
11367,1443,R27,adp,8.16e-02,5.78e-02,-2.84e-02,-5.79e-03
11368,1443,R27,atp,-1.04e+00,-5.40e-02,3.64e-01,5.40e-03
11369,1443,R27,fumarate,-3.49e-01,-5.43e-02,1.22e-01,5.43e-03
11370,1443,R27,oxygen,1.35e-01,9.57e-02,-4.70e-02,-9.57e-03
11371,1443,R27,succ,3.76e-01,5.44e-02,-1.31e-01,-5.44e-03
11372,1449,R27,adp,1.85e-01,7.99e-02,-2.72e-02,-3.80e-02
11373,1449,R27,atp,-1.91e+00,-6.01e-02,2.81e-01,2.86e-02
11374,1449,R27,fumarate,-6.53e-01,-6.17e-02,9.59e-02,2.94e-02
11375,1449,R27,oxygen,8.37e-01,3.61e-01,-1.23e-01,-1.72e-01
11376,1449,R27,succ,7.04e-01,6.20e-02,-1.03e-01,-2.95e-02
11377,1459,R27,adp,3.01e-02,4.66e-02,-3.52e-02,-8.38e-03
11378,1459,R27,atp,-3.27e-01,-3.68e-02,3.83e-01,6.63e-03
11379,1459,R27,fumarate,-9.72e-02,-3.29e-02,1.14e-01,5.92e-03
11380,1459,R27,oxygen,1.14e-01,1.76e-01,-1.33e-01,-3.17e-02
11381,1459,R27,succ,1.26e-01,3.97e-02,-1.47e-01,-7.14e-03
11382,1467,R27,adp,5.17e-02,3.87e-02,-1.97e-02,-1.76e-03
11383,1467,R27,atp,-6.86e-01,-3.74e-02,2.61e-01,1.70e-03
11384,1467,R27,fumarate,-2.28e-01,-3.74e-02,8.68e-02,1.70e-03
11385,1467,R27,oxygen,6.48e-02,4.85e-02,-2.47e-02,-2.21e-03
11386,1467,R27,succ,2.47e-01,3.76e-02,-9.40e-02,-1.71e-03
11387,1478,R27,adp,1.85e-01,7.93e-02,-2.69e-02,-3.73e-02
11388,1478,R27,atp,-1.91e+00,-5.97e-02,2.78e-01,2.81e-02
11389,1478,R27,fumarate,-6.50e-01,-6.12e-02,9.47e-02,2.88e-02
11390,1478,R27,oxygen,8.33e-01,3.58e-01,-1.21e-01,-1.68e-01
11391,1478,R27,succ,7.02e-01,6.15e-02,-1.02e-01,-2.90e-02
11392,148,R27,adp,5.25e-02,3.86e-02,-1.94e-02,-1.75e-03
11393,148,R27,atp,-6.97e-01,-3.73e-02,2.58e-01,1.69e-03
11394,148,R27,fumarate,-2.32e-01,-3.73e-02,8.56e-02,1.69e-03
11395,148,R27,oxygen,6.56e-02,4.82e-02,-2.43e-02,-2.19e-03
11396,148,R27,succ,2.51e-01,3.76e-02,-9.27e-02,-1.70e-03
11397,1482,R27,adp,6.65e-03,1.21e-04,-2.13e-06,-1.70e-07
11398,1482,R27,atp,-5.04e-02,-6.66e-05,1.62e-05,9.37e-08
11399,1482,R27,fumarate,-1.81e-02,-7.20e-05,5.81e-06,1.01e-07
11400,1482,R27,oxygen,5.11e-02,9.28e-04,-1.64e-05,-1.31e-06
11401,1482,R27,succ,1.96e-02,7.25e-05,-6.29e-06,-1.02e-07
11402,150,R27,adp,2.80e-02,4.48e-02,-3.44e-02,-8.08e-03
11403,150,R27,atp,-3.00e-01,-3.50e-02,3.69e-01,6.32e-03
11404,150,R27,fumarate,-9.02e-02,-3.17e-02,1.11e-01,5.72e-03
11405,150,R27,oxygen,1.11e-01,1.78e-01,-1.37e-01,-3.21e-02
11406,150,R27,succ,1.16e-01,3.78e-02,-1.42e-01,-6.83e-03
11407,1507,R27,adp,5.13e-03,9.22e-05,-1.61e-06,-9.90e-08
11408,1507,R27,atp,-3.89e-02,-5.09e-05,1.22e-05,5.46e-08
11409,1507,R27,fumarate,-1.40e-02,-5.50e-05,4.39e-06,5.90e-08
11410,1507,R27,oxygen,3.94e-02,7.09e-04,-1.24e-05,-7.61e-07
11411,1507,R27,succ,1.51e-02,5.54e-05,-4.75e-06,-5.95e-08
11412,1511,R27,adp,7.39e-02,5.39e-02,-2.70e-02,-4.76e-03
11413,1511,R27,atp,-9.52e-01,-5.05e-02,3.47e-01,4.46e-03
11414,1511,R27,fumarate,-3.18e-01,-5.08e-02,1.16e-01,4.49e-03
11415,1511,R27,oxygen,1.18e-01,8.59e-02,-4.30e-02,-7.59e-03
11416,1511,R27,succ,3.42e-01,5.09e-02,-1.25e-01,-4.50e-03
11417,1535,R27,adp,6.46e-02,4.84e-02,-2.47e-02,-3.61e-03
11418,1535,R27,atp,-8.36e-01,-4.57e-02,3.20e-01,3.40e-03
11419,1535,R27,fumarate,-2.79e-01,-4.59e-02,1.07e-01,3.42e-03
11420,1535,R27,oxygen,9.84e-02,7.38e-02,-3.77e-02,-5.50e-03
11421,1535,R27,succ,3.01e-01,4.60e-02,-1.15e-01,-3.43e-03
11422,154,R27,adp,4.04e-01,9.17e-02,-1.82e-02,-4.39e-02
11423,154,R27,atp,-4.43e+00,-7.31e-02,1.99e-01,3.50e-02
11424,154,R27,fumarate,-1.39e+00,-6.90e-02,6.23e-02,3.30e-02
11425,154,R27,oxygen,1.55e+00,3.51e-01,-6.96e-02,-1.68e-01
11426,154,R27,succ,1.75e+00,8.10e-02,-7.86e-02,-3.87e-02
11427,1549,R27,adp,1.73e-01,4.96e-02,-1.21e-02,-1.77e-02
11428,1549,R27,atp,-1.65e+00,-3.44e-02,1.15e-01,1.23e-02
11429,1549,R27,fumarate,-5.75e-01,-3.62e-02,4.01e-02,1.29e-02
11430,1549,R27,oxygen,8.99e-01,2.58e-01,-6.28e-02,-9.18e-02
11431,1549,R27,succ,6.85e-01,4.01e-02,-4.78e-02,-1.43e-02
11432,1550,R27,adp,2.22e-01,7.76e-02,-2.23e-02,-3.46e-02
11433,1550,R27,atp,-2.02e+00,-5.15e-02,2.03e-01,2.29e-02
11434,1550,R27,fumarate,-8.13e-01,-6.24e-02,8.17e-02,2.78e-02
11435,1550,R27,oxygen,9.54e-01,3.34e-01,-9.60e-02,-1.49e-01
11436,1550,R27,succ,8.84e-01,6.31e-02,-8.89e-02,-2.81e-02
11437,1551,R27,adp,2.57e-01,8.66e-02,-2.41e-02,-3.85e-02
11438,1551,R27,atp,-2.79e+00,-6.84e-02,2.61e-01,3.04e-02
11439,1551,R27,fumarate,-9.29e-01,-6.86e-02,8.70e-02,3.05e-02
11440,1551,R27,oxygen,9.96e-01,3.35e-01,-9.33e-02,-1.49e-01
11441,1551,R27,succ,1.10e+00,7.55e-02,-1.03e-01,-3.36e-02
11442,1554,R27,adp,2.02e-01,7.27e-02,-2.13e-02,-3.25e-02
11443,1554,R27,atp,-1.95e+00,-5.10e-02,2.05e-01,2.28e-02
11444,1554,R27,fumarate,-7.18e-01,-5.66e-02,7.57e-02,2.53e-02
11445,1554,R27,oxygen,9.28e-01,3.33e-01,-9.78e-02,-1.49e-01
11446,1554,R27,succ,8.27e-01,6.06e-02,-8.72e-02,-2.71e-02
11447,1555,R27,adp,2.00e-01,7.25e-02,-2.14e-02,-3.25e-02
11448,1555,R27,atp,-1.91e+00,-5.06e-02,2.06e-01,2.27e-02
11449,1555,R27,fumarate,-7.07e-01,-5.62e-02,7.59e-02,2.52e-02
11450,1555,R27,oxygen,9.23e-01,3.35e-01,-9.91e-02,-1.50e-01
11451,1555,R27,succ,8.14e-01,6.03e-02,-8.74e-02,-2.70e-02
11452,1556,R27,adp,1.45e-02,2.73e-02,-2.22e-02,-1.15e-03
11453,1556,R27,atp,-1.84e-01,-2.53e-02,2.82e-01,1.07e-03
11454,1556,R27,fumarate,-5.48e-02,-2.26e-02,8.39e-02,9.55e-04
11455,1556,R27,oxygen,2.65e-02,4.99e-02,-4.06e-02,-2.11e-03
11456,1556,R27,succ,6.92e-02,2.66e-02,-1.06e-01,-1.12e-03
11457,157,R27,adp,6.68e-03,1.20e-04,-2.11e-06,-1.68e-07
11458,157,R27,atp,-5.08e-02,-6.66e-05,1.60e-05,9.29e-08
11459,157,R27,fumarate,-1.82e-02,-7.19e-05,5.75e-06,1.00e-07
11460,157,R27,oxygen,5.12e-02,9.21e-04,-1.61e-05,-1.28e-06
11461,157,R27,succ,1.97e-02,7.24e-05,-6.22e-06,-1.01e-07
11462,159,R27,adp,4.04e-01,9.43e-02,-1.92e-02,-4.94e-02
11463,159,R27,atp,-4.33e+00,-7.36e-02,2.05e-01,3.85e-02
11464,159,R27,fumarate,-1.45e+00,-7.45e-02,6.90e-02,3.90e-02
11465,159,R27,oxygen,1.64e+00,3.83e-01,-7.77e-02,-2.00e-01
11466,159,R27,succ,1.65e+00,7.86e-02,-7.83e-02,-4.11e-02
11467,162,R27,adp,3.88e-02,4.83e-02,-3.31e-02,-9.14e-03
11468,162,R27,atp,-4.16e-01,-3.77e-02,3.55e-01,7.14e-03
11469,162,R27,fumarate,-9.95e-02,-2.71e-02,8.49e-02,5.14e-03
11470,162,R27,oxygen,1.41e-01,1.75e-01,-1.20e-01,-3.31e-02
11471,162,R27,succ,1.63e-01,4.14e-02,-1.39e-01,-7.83e-03
11472,165,R27,adp,1.88e-01,8.02e-02,-2.71e-02,-3.82e-02
11473,165,R27,atp,-1.94e+00,-6.04e-02,2.80e-01,2.87e-02
11474,165,R27,fumarate,-6.62e-01,-6.20e-02,9.56e-02,2.95e-02
11475,165,R27,oxygen,8.45e-01,3.61e-01,-1.22e-01,-1.72e-01
11476,165,R27,succ,7.14e-01,6.23e-02,-1.03e-01,-2.96e-02
11477,170,R27,adp,3.04e-01,9.64e-02,-2.55e-02,-4.97e-02
11478,170,R27,atp,-3.14e+00,-7.25e-02,2.64e-01,3.74e-02
11479,170,R27,fumarate,-1.13e+00,-7.88e-02,9.52e-02,4.06e-02
11480,170,R27,oxygen,1.22e+00,3.86e-01,-1.02e-01,-1.99e-01
11481,170,R27,succ,1.23e+00,7.97e-02,-1.03e-01,-4.11e-02
11482,172,R27,adp,7.47e-02,5.39e-02,-2.68e-02,-4.75e-03
11483,172,R27,atp,-9.62e-01,-5.05e-02,3.45e-01,4.45e-03
11484,172,R27,fumarate,-3.21e-01,-5.08e-02,1.15e-01,4.48e-03
11485,172,R27,oxygen,1.19e-01,8.56e-02,-4.25e-02,-7.54e-03
11486,172,R27,succ,3.46e-01,5.09e-02,-1.24e-01,-4.49e-03
11487,184,R27,adp,2.93e-02,4.50e-02,-3.40e-02,-8.15e-03
11488,184,R27,atp,-3.15e-01,-3.53e-02,3.66e-01,6.39e-03
11489,184,R27,fumarate,-9.43e-02,-3.18e-02,1.10e-01,5.76e-03
11490,184,R27,oxygen,1.15e-01,1.76e-01,-1.33e-01,-3.19e-02
11491,184,R27,succ,1.22e-01,3.81e-02,-1.41e-01,-6.90e-03
11492,190,R27,adp,1.89e-01,7.99e-02,-2.68e-02,-3.78e-02
11493,190,R27,atp,-1.96e+00,-6.03e-02,2.77e-01,2.85e-02
11494,190,R27,fumarate,-6.68e-01,-6.19e-02,9.45e-02,2.93e-02
11495,190,R27,oxygen,8.49e-01,3.59e-01,-1.20e-01,-1.70e-01
11496,190,R27,succ,7.21e-01,6.22e-02,-1.02e-01,-2.94e-02
11497,198,R27,adp,5.17e-03,9.13e-05,-1.57e-06,-9.65e-08
11498,198,R27,atp,-3.95e-02,-5.08e-05,1.20e-05,5.36e-08
11499,198,R27,fumarate,-1.41e-02,-5.47e-05,4.29e-06,5.78e-08
11500,198,R27,oxygen,3.95e-02,6.97e-04,-1.20e-05,-7.36e-07
11501,198,R27,succ,1.53e-02,5.51e-05,-4.65e-06,-5.82e-08
11502,199,R27,adp,6.59e-02,4.85e-02,-2.44e-02,-3.60e-03
11503,199,R27,atp,-8.54e-01,-4.57e-02,3.16e-01,3.39e-03
11504,199,R27,fumarate,-2.85e-01,-4.60e-02,1.06e-01,3.41e-03
11505,199,R27,oxygen,9.97e-02,7.34e-02,-3.70e-02,-5.44e-03
11506,199,R27,succ,3.07e-01,4.61e-02,-1.14e-01,-3.42e-03
11507,20,R27,adp,5.86e-01,9.14e-02,-1.29e-02,-4.90e-02
11508,20,R27,atp,-6.22e+00,-7.06e-02,1.37e-01,3.78e-02
11509,20,R27,fumarate,-2.10e+00,-7.17e-02,4.62e-02,3.84e-02
11510,20,R27,oxygen,2.45e+00,3.83e-01,-5.41e-02,-2.05e-01
11511,20,R27,succ,2.35e+00,7.48e-02,-5.18e-02,-4.01e-02
11512,21,R27,adp,9.57e-01,8.12e-02,-6.47e-03,-4.03e-02
11513,21,R27,atp,-1.01e+01,-6.23e-02,6.82e-02,3.10e-02
11514,21,R27,fumarate,-2.96e+00,-5.50e-02,2.00e-02,2.73e-02
11515,21,R27,oxygen,4.09e+00,3.47e-01,-2.77e-02,-1.73e-01
11516,21,R27,succ,4.08e+00,7.06e-02,-2.76e-02,-3.51e-02
11517,22,R27,adp,4.30e-01,9.64e-02,-1.89e-02,-5.00e-02
11518,22,R27,atp,-4.52e+00,-7.38e-02,1.99e-01,3.83e-02
11519,22,R27,fumarate,-1.61e+00,-7.91e-02,7.07e-02,4.10e-02
11520,22,R27,oxygen,1.69e+00,3.80e-01,-7.45e-02,-1.97e-01
11521,22,R27,succ,1.75e+00,8.00e-02,-7.69e-02,-4.15e-02
11522,228,R27,adp,2.09e-01,7.27e-02,-2.08e-02,-4.68e-02
11523,228,R27,atp,-1.77e+00,-4.49e-02,1.77e-01,2.89e-02
11524,228,R27,fumarate,-6.42e-01,-4.91e-02,6.41e-02,3.15e-02
11525,228,R27,oxygen,1.34e+00,4.67e-01,-1.34e-01,-3.00e-01
11526,228,R27,succ,6.94e-01,4.93e-02,-6.92e-02,-3.17e-02
11527,233,R27,adp,1.79e+00,9.10e-02,-4.42e-03,-3.02e-02
11528,233,R27,atp,-2.14e+01,-7.91e-02,5.28e-02,2.62e-02
11529,233,R27,fumarate,-7.16e+00,-7.98e-02,1.77e-02,2.64e-02
11530,233,R27,oxygen,4.80e+00,2.44e-01,-1.18e-02,-8.08e-02
11531,233,R27,succ,7.81e+00,8.09e-02,-1.93e-02,-2.68e-02
11532,246,R27,adp,3.29e-01,8.69e-02,-1.97e-02,-2.16e-02
11533,246,R27,atp,-4.05e+00,-7.79e-02,2.42e-01,1.93e-02
11534,246,R27,fumarate,-1.36e+00,-7.85e-02,8.11e-02,1.95e-02
11535,246,R27,oxygen,7.51e-01,1.98e-01,-4.49e-02,-4.93e-02
11536,246,R27,succ,1.48e+00,7.95e-02,-8.83e-02,-1.97e-02
11537,255,R27,adp,9.58e-01,8.92e-02,-7.77e-03,-2.89e-02
11538,255,R27,atp,-1.14e+01,-7.75e-02,9.26e-02,2.51e-02
11539,255,R27,fumarate,-3.78e+00,-7.71e-02,3.06e-02,2.50e-02
11540,255,R27,oxygen,2.59e+00,2.41e-01,-2.10e-02,-7.80e-02
11541,255,R27,succ,4.27e+00,8.11e-02,-3.46e-02,-2.63e-02
11542,259,R27,adp,6.99e-01,8.84e-02,-1.03e-02,-2.76e-02
11543,259,R27,atp,-8.36e+00,-7.71e-02,1.23e-01,2.41e-02
11544,259,R27,fumarate,-2.81e+00,-7.79e-02,4.13e-02,2.43e-02
11545,259,R27,oxygen,1.85e+00,2.34e-01,-2.73e-02,-7.32e-02
11546,259,R27,succ,3.06e+00,7.91e-02,-4.51e-02,-2.47e-02
11547,260,R27,adp,1.21e+00,2.78e-02,-6.22e-04,-2.90e-03
11548,260,R27,atp,-1.44e+01,-2.41e-02,7.40e-03,2.51e-03
11549,260,R27,fumarate,-4.80e+00,-2.42e-02,2.47e-03,2.52e-03
11550,260,R27,oxygen,3.29e+00,7.57e-02,-1.69e-03,-7.88e-03
11551,260,R27,succ,5.26e+00,2.47e-02,-2.70e-03,-2.57e-03
11552,264,R27,adp,6.15e-01,8.96e-02,-1.19e-02,-2.63e-02
11553,264,R27,atp,-7.44e+00,-7.90e-02,1.44e-01,2.32e-02
11554,264,R27,fumarate,-2.49e+00,-7.97e-02,4.82e-02,2.34e-02
11555,264,R27,oxygen,1.54e+00,2.24e-01,-2.97e-02,-6.58e-02
11556,264,R27,succ,2.72e+00,8.08e-02,-5.25e-02,-2.37e-02
11557,273,R27,adp,1.87e-01,1.64e-02,-1.36e-03,-1.72e-03
11558,273,R27,atp,-1.93e+00,-1.24e-02,1.41e-02,1.30e-03
11559,273,R27,fumarate,-6.51e-01,-1.26e-02,4.73e-03,1.32e-03
11560,273,R27,oxygen,8.30e-01,7.31e-02,-6.04e-03,-7.67e-03
11561,273,R27,succ,7.10e-01,1.27e-02,-5.16e-03,-1.34e-03
11562,276,R27,adp,2.65e-01,8.06e-02,-2.06e-02,-2.94e-02
11563,276,R27,atp,-2.98e+00,-6.60e-02,2.32e-01,2.41e-02
11564,276,R27,fumarate,-1.02e+00,-6.77e-02,7.89e-02,2.47e-02
11565,276,R27,oxygen,9.10e-01,2.77e-01,-7.07e-02,-1.01e-01
11566,276,R27,succ,1.11e+00,6.87e-02,-8.60e-02,-2.51e-02
11567,278,R27,adp,1.99e-01,7.63e-02,-2.36e-02,-3.45e-02
11568,278,R27,atp,-2.06e+00,-5.74e-02,2.43e-01,2.59e-02
11569,278,R27,fumarate,-7.13e-01,-5.98e-02,8.43e-02,2.70e-02
11570,278,R27,oxygen,8.89e-01,3.40e-01,-1.05e-01,-1.54e-01
11571,278,R27,succ,7.76e-01,6.05e-02,-9.17e-02,-2.74e-02
11572,285,R27,adp,1.71e-01,1.31e-02,-9.50e-04,-1.30e-03
11573,285,R27,atp,-1.66e+00,-9.30e-03,9.25e-03,9.19e-04
11574,285,R27,fumarate,-5.64e-01,-9.49e-03,3.13e-03,9.38e-04
11575,285,R27,oxygen,8.84e-01,6.78e-02,-4.92e-03,-6.71e-03
11576,285,R27,succ,6.10e-01,9.54e-03,-3.39e-03,-9.43e-04
11577,288,R27,adp,2.46e-01,7.96e-02,-2.14e-02,-3.29e-02
11578,288,R27,atp,-2.66e+00,-6.28e-02,2.32e-01,2.60e-02
11579,288,R27,fumarate,-9.14e-01,-6.49e-02,7.97e-02,2.68e-02
11580,288,R27,oxygen,9.59e-01,3.11e-01,-8.37e-02,-1.29e-01
11581,288,R27,succ,9.85e-01,6.51e-02,-8.59e-02,-2.69e-02
11582,29,R27,adp,5.11e-02,4.86e-02,-2.88e-02,-9.44e-03
11583,29,R27,atp,-5.53e-01,-3.83e-02,3.12e-01,7.44e-03
11584,29,R27,fumarate,-1.33e-01,-2.77e-02,7.48e-02,5.37e-03
11585,29,R27,oxygen,1.78e-01,1.70e-01,-1.00e-01,-3.29e-02
11586,29,R27,succ,2.15e-01,4.17e-02,-1.21e-01,-8.10e-03
11587,291,R27,adp,1.82e-01,7.37e-02,-2.38e-02,-3.56e-02
11588,291,R27,atp,-1.80e+00,-5.31e-02,2.36e-01,2.57e-02
11589,291,R27,fumarate,-6.32e-01,-5.60e-02,8.26e-02,2.71e-02
11590,291,R27,oxygen,8.96e-01,3.62e-01,-1.17e-01,-1.75e-01
11591,291,R27,succ,6.82e-01,5.62e-02,-8.91e-02,-2.72e-02
11592,30,R27,adp,5.88e-01,9.16e-02,-1.29e-02,-4.90e-02
11593,30,R27,atp,-6.24e+00,-7.08e-02,1.37e-01,3.79e-02
11594,30,R27,fumarate,-2.10e+00,-7.18e-02,4.62e-02,3.85e-02
11595,30,R27,oxygen,2.46e+00,3.83e-01,-5.39e-02,-2.05e-01
11596,30,R27,succ,2.36e+00,7.50e-02,-5.18e-02,-4.02e-02
11597,302,R27,adp,6.12e-01,1.04e-01,-1.58e-02,-3.15e-02
11598,302,R27,atp,-7.53e+00,-9.31e-02,1.95e-01,2.82e-02
11599,302,R27,fumarate,-2.36e+00,-8.78e-02,6.11e-02,2.66e-02
11600,302,R27,oxygen,1.39e+00,2.37e-01,-3.61e-02,-7.18e-02
11601,302,R27,succ,2.83e+00,9.78e-02,-7.31e-02,-2.97e-02
11602,31,R27,adp,3.85e-02,4.56e-02,-3.05e-02,-8.42e-03
11603,31,R27,atp,-4.20e-01,-3.62e-02,3.33e-01,6.69e-03
11604,31,R27,fumarate,-1.23e-01,-3.20e-02,9.76e-02,5.91e-03
11605,31,R27,oxygen,1.42e-01,1.69e-01,-1.13e-01,-3.11e-02
11606,31,R27,succ,1.61e-01,3.89e-02,-1.28e-01,-7.18e-03
11607,315,R27,adp,2.67e-01,7.80e-02,-1.92e-02,-2.01e-02
11608,315,R27,atp,-3.16e+00,-6.71e-02,2.27e-01,1.73e-02
11609,315,R27,fumarate,-1.08e+00,-6.91e-02,7.77e-02,1.78e-02
11610,315,R27,oxygen,6.95e-01,2.03e-01,-5.00e-02,-5.22e-02
11611,315,R27,succ,1.22e+00,7.29e-02,-8.81e-02,-1.88e-02
11612,32,R27,adp,4.33e-01,9.69e-02,-1.90e-02,-5.02e-02
11613,32,R27,atp,-4.56e+00,-7.44e-02,2.00e-01,3.85e-02
11614,32,R27,fumarate,-1.62e+00,-7.96e-02,7.10e-02,4.12e-02
11615,32,R27,oxygen,1.70e+00,3.80e-01,-7.43e-02,-1.97e-01
11616,32,R27,succ,1.76e+00,8.05e-02,-7.72e-02,-4.17e-02
11617,325,R27,adp,6.09e-01,1.04e-01,-1.59e-02,-3.15e-02
11618,325,R27,atp,-7.50e+00,-9.31e-02,1.96e-01,2.82e-02
11619,325,R27,fumarate,-2.35e+00,-8.78e-02,6.13e-02,2.66e-02
11620,325,R27,oxygen,1.39e+00,2.36e-01,-3.62e-02,-7.17e-02
11621,325,R27,succ,2.81e+00,9.78e-02,-7.34e-02,-2.96e-02
11622,330,R27,adp,2.80e-01,9.01e-02,-2.42e-02,-2.29e-02
11623,330,R27,atp,-3.44e+00,-8.07e-02,2.97e-01,2.05e-02
11624,330,R27,fumarate,-1.16e+00,-8.16e-02,9.98e-02,2.07e-02
11625,330,R27,oxygen,6.39e-01,2.06e-01,-5.51e-02,-5.22e-02
11626,330,R27,succ,1.26e+00,8.27e-02,-1.09e-01,-2.10e-02
11627,333,R27,adp,2.19e-01,7.67e-02,-2.20e-02,-1.86e-02
11628,333,R27,atp,-2.61e+00,-6.65e-02,2.63e-01,1.61e-02
11629,333,R27,fumarate,-8.97e-01,-6.89e-02,9.03e-02,1.67e-02
11630,333,R27,oxygen,5.55e-01,1.94e-01,-5.58e-02,-4.71e-02
11631,333,R27,succ,9.82e-01,7.01e-02,-9.88e-02,-1.70e-02
11632,34,R27,adp,5.18e-02,4.89e-02,-2.88e-02,-9.56e-03
11633,34,R27,atp,-5.61e-01,-3.85e-02,3.12e-01,7.54e-03
11634,34,R27,fumarate,-1.35e-01,-2.78e-02,7.48e-02,5.44e-03
11635,34,R27,oxygen,1.81e-01,1.71e-01,-1.01e-01,-3.34e-02
11636,34,R27,succ,2.18e-01,4.19e-02,-1.21e-01,-8.20e-03
11637,35,R27,adp,3.91e-02,4.59e-02,-3.06e-02,-8.56e-03
11638,35,R27,atp,-4.26e-01,-3.65e-02,3.34e-01,6.79e-03
11639,35,R27,fumarate,-1.25e-01,-3.22e-02,9.78e-02,6.00e-03
11640,35,R27,oxygen,1.45e-01,1.70e-01,-1.13e-01,-3.17e-02
11641,35,R27,succ,1.63e-01,3.92e-02,-1.28e-01,-7.30e-03
11642,359,R27,adp,1.44e-01,4.90e-02,-1.37e-02,-2.88e-03
11643,359,R27,atp,-1.93e+00,-4.77e-02,1.84e-01,2.81e-03
11644,359,R27,fumarate,-6.29e-01,-4.69e-02,6.00e-02,2.76e-03
11645,359,R27,oxygen,1.72e-01,5.84e-02,-1.64e-02,-3.44e-03
11646,359,R27,succ,6.94e-01,4.81e-02,-6.62e-02,-2.84e-03
11647,366,R27,adp,2.67e-01,7.79e-02,-1.92e-02,-2.01e-02
11648,366,R27,atp,-3.15e+00,-6.70e-02,2.27e-01,1.73e-02
11649,366,R27,fumarate,-1.08e+00,-6.90e-02,7.77e-02,1.78e-02
11650,366,R27,oxygen,6.94e-01,2.03e-01,-5.00e-02,-5.22e-02
11651,366,R27,succ,1.22e+00,7.28e-02,-8.80e-02,-1.87e-02
11652,37,R27,adp,2.98e-01,6.77e-02,-1.34e-02,-3.37e-02
11653,37,R27,atp,-2.85e+00,-4.72e-02,1.28e-01,2.34e-02
11654,37,R27,fumarate,-9.59e-01,-4.78e-02,4.32e-02,2.37e-02
11655,37,R27,oxygen,1.56e+00,3.54e-01,-7.02e-02,-1.76e-01
11656,37,R27,succ,1.04e+00,4.81e-02,-4.68e-02,-2.39e-02
11657,376,R27,adp,2.13e-01,7.68e-02,-2.26e-02,-2.09e-02
11658,376,R27,atp,-2.48e+00,-6.50e-02,2.63e-01,1.77e-02
11659,376,R27,fumarate,-8.57e-01,-6.78e-02,9.11e-02,1.85e-02
11660,376,R27,oxygen,5.98e-01,2.16e-01,-6.35e-02,-5.88e-02
11661,376,R27,succ,9.38e-01,6.90e-02,-9.97e-02,-1.88e-02
11662,380,R27,adp,2.75e-01,8.95e-02,-2.42e-02,-2.26e-02
11663,380,R27,atp,-3.38e+00,-8.02e-02,2.98e-01,2.03e-02
