EFM,biomass yield [gr dw / mol C glc],"$\Sigma_i \frac{|v_i| \cdot w_i}{k_{\mathrm{cat},i}}$ [gr enz / gr dw h$^{-1}$]",total enzyme [gr enz / gr dw h$^{-1}$],growth rate [h$^{-1}$]
300,10.962,0.06,0.197,0.454
302,3.769,0.514,2.184,0.059
304,6.086,0.198,0.525,0.216
305,1.616,5.169,10.656,0.013
306,10.962,1.289,2.074,0.062
307,1.931,0.565,1.586,0.08
308,2.366,4.704,8.958,0.015
315,4.354,0.309,1.27,0.099
322,6.109,0.197,0.524,0.216
325,3.785,0.512,2.175,0.059
327,5.823,0.153,0.446,0.247
328,1.95,0.559,1.571,0.081
329,2.366,0.344,1.045,0.118
330,5.275,0.284,1.151,0.108
331,2.071,11.723,18.927,0.007
333,5.275,0.268,1.058,0.117
335,1.623,5.146,10.612,0.013
338,2.366,2.852,6.18,0.021
346,6.732,0.153,0.434,0.253
349,2.827,2.446,5.346,0.025
350,2.187,0.319,0.877,0.138
352,2.071,0.337,0.937,0.13
354,6.608,0.147,0.424,0.257
355,2.37,4.685,8.931,0.015
356,2.919,2.574,5.48,0.024
357,2.071,0.503,1.815,0.071
359,2.127,0.335,1.09,0.113
362,2.919,2.284,5.035,0.026
364,2.919,0.296,0.897,0.135
366,4.368,0.309,1.27,0.099
371,5.848,0.153,0.445,0.248
372,2.37,2.852,6.181,0.021
376,5.98,0.264,1.027,0.12
377,2.071,11.789,19.02,0.007
378,6.765,0.153,0.432,0.254
379,2.852,2.418,5.292,0.025
380,5.309,0.281,1.139,0.109
381,2.37,0.345,1.045,0.118
382,11.04,0.252,0.896,0.136
384,5.309,0.268,1.055,0.117
385,2.118,0.335,1.073,0.115
387,2.166,0.322,0.882,0.137
388,2.071,0.337,0.933,0.131
390,2.933,2.53,5.41,0.025
392,6.656,0.147,0.424,0.258
394,2.933,2.277,5.022,0.026
396,2.071,0.475,1.734,0.074
397,8.104,0.125,0.354,0.297
407,2.933,0.296,0.895,0.136
423,10.934,0.289,1.104,0.112
424,2.354,10.551,16.978,0.008
425,2.204,11.34,18.26,0.007
429,10.73,0.363,1.309,0.096
430,15.167,0.075,0.174,0.493
432,11.04,0.282,1.019,0.121
435,11.481,0.283,1.057,0.117
436,5.92,0.265,1.028,0.12
439,15.844,0.335,1.282,0.098
442,10.73,0.284,1.031,0.119
443,7.941,0.128,0.363,0.292
444,21.063,0.089,0.249,0.387
450,11.002,0.253,0.895,0.136
451,2.204,0.332,1.122,0.111
457,17.153,0.278,0.985,0.124
461,11.671,1.044,2.42,0.054
462,2.354,0.297,0.79,0.152
463,17.629,0.262,0.938,0.13
465,11.671,0.282,1.01,0.122
468,14.351,0.269,0.933,0.131
475,21.816,0.075,0.215,0.428
478,15.816,0.555,1.25,0.1
479,22.052,0.072,0.21,0.436
481,15.062,0.076,0.176,0.49
485,2.183,11.464,18.453,0.007
486,15.816,0.085,0.238,0.4
487,18.81,0.075,0.2,0.45
488,16.768,0.072,0.196,0.456
489,15.761,0.073,0.168,0.503
497,3.851,0.164,0.618,0.188
499,3.948,0.153,0.456,0.243
500,3.67,6.087,9.932,0.013
501,3.67,0.166,0.5,0.225
502,2.307,10.793,17.363,0.008
504,15.824,0.071,0.166,0.508
505,15.212,0.152,0.52,0.218
506,3.67,0.332,1.203,0.104
510,11.991,0.221,0.8,0.15
512,15.212,0.072,0.17,0.5
515,15.858,0.335,1.283,0.098
518,3.936,0.153,0.455,0.243
519,3.705,6.085,9.916,0.013
521,21.063,0.09,0.252,0.384
522,3.705,0.164,0.492,0.228
523,2.183,0.333,1.105,0.112
526,3.705,0.302,1.127,0.11
527,3.856,0.162,0.601,0.193
529,2.307,0.303,0.807,0.149
535,17.167,0.279,0.985,0.124
536,17.658,0.262,0.937,0.13
540,11.683,1.043,2.421,0.054
542,11.683,0.282,1.011,0.122
548,14.365,0.269,0.933,0.131
