efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R90,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R97r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
22,0.0,0.0,0.281,21.807,0.0,0.0,0.0,0.0,1.548,0.0,0.0,0.0,21.485,26.27,0.453,12.94,0.0,0.232,14.633,0.0,3.063,0.0,0.0,21.388,0.147,9.652,85.411,51.175,26.18,0.0,37.832,96.795,0.0,0.0,0.0,14.91,0.0,0.0,0.0,0.0,2.54,0.203,0.0,29.65,4.95,48.302,30.84,16.911,0.0,15.546,258.921
29,0.0,0.0,0.144,10.55,0.0,0.0,0.0,0.0,1.548,0.0,0.0,0.0,6.845,7.859,0.26,6.436,0.0,0.202,4.956,0.0,1.988,0.0,0.0,13.189,0.062,2.649,8.917,0.0,10.085,0.0,15.708,52.73,0.0,1.453,0.0,0.0,0.0,0.0,0.0,12.967,6.101,0.092,0.0,9.06,2.08,6.412,4.898,11.567,0.0,5.269,76.248
30,0.0,0.0,0.685,29.842,6.222,0.0,0.0,0.0,1.548,0.0,0.0,0.0,25.642,31.756,0.545,17.068,0.0,0.459,17.1,0.0,4.246,0.0,0.0,33.138,0.234,7.597,124.742,68.692,29.112,0.0,16.15,167.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.593,26.033,0.0,0.0,34.079,6.464,56.327,26.353,24.101,0.0,18.806,267.851
31,0.0,0.0,0.144,8.235,0.0,0.0,0.0,0.0,1.548,0.0,0.0,0.0,6.634,7.681,0.26,5.025,0.0,0.523,4.456,0.0,1.709,0.0,0.0,11.392,0.062,3.241,7.156,0.0,10.346,0.0,16.272,31.277,0.0,1.619,0.0,9.03,0.0,0.0,0.0,0.0,1.258,0.092,0.0,8.078,1.724,5.978,6.508,9.917,0.0,5.072,71.846
32,0.0,0.0,0.814,22.016,8.906,0.0,0.0,0.0,1.548,0.0,0.0,0.0,19.929,24.578,0.474,13.072,0.0,0.601,14.495,0.0,2.051,0.0,0.0,23.246,0.207,9.934,85.416,51.338,26.431,0.0,18.865,97.456,0.0,0.0,0.0,15.066,0.0,0.0,0.0,0.0,2.484,0.0,0.0,29.363,4.992,48.836,31.232,17.096,0.0,14.478,258.707
34,0.0,0.0,0.311,10.705,2.878,0.0,0.0,0.0,1.548,0.0,0.0,0.0,6.538,7.468,0.222,6.53,0.0,0.318,5.144,0.0,1.838,0.0,0.0,13.861,0.098,2.686,9.052,0.0,10.22,0.0,8.065,53.192,0.0,1.454,0.0,0.0,0.0,0.0,0.0,13.161,6.16,0.0,0.0,9.501,2.112,6.497,4.956,11.7,0.0,5.018,76.638
35,0.0,0.0,0.337,8.355,3.1,0.0,0.0,0.0,1.548,0.0,0.0,0.0,6.273,7.232,0.222,5.098,0.0,0.657,4.613,0.0,1.489,0.0,0.0,12.033,0.098,3.295,7.264,0.0,10.48,0.0,8.301,31.424,0.0,1.622,0.0,9.175,0.0,0.0,0.0,0.0,1.245,0.0,0.0,8.46,1.75,6.055,6.584,10.038,0.0,4.787,72.116
37,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.548,0.0,10.89,0.0,53.653,62.651,1.147,0.0,0.0,0.338,21.402,0.0,8.203,35.236,37.524,56.099,0.314,12.953,80.738,44.413,1.124,0.0,20.554,90.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672,0.401,0.0,41.626,0.0,2.753,1.433,43.021,0.0,36.47,281.528
41,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,1.548,0.0,5.368,0.0,10.735,12.234,0.26,0.0,0.0,0.162,7.91,0.0,3.367,11.806,18.308,22.445,0.062,3.657,0.0,0.0,0.652,0.0,14.329,35.762,0.0,1.259,0.0,0.0,0.0,0.0,0.0,0.0,0.606,0.093,0.0,14.499,0.0,0.325,0.29,20.765,0.0,8.386,102.629
43,0.0,0.0,0.632,0.0,3.655,0.0,0.0,0.0,1.548,0.0,10.968,0.0,53.27,62.107,0.727,0.0,0.0,0.51,21.654,0.0,8.051,35.582,37.857,56.942,0.314,13.005,80.627,44.301,1.123,0.0,10.954,90.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664,0.0,0.0,42.195,0.0,2.758,1.432,43.352,0.0,36.744,282.402
58,0.0,0.0,0.0,30.075,11.91,0.0,0.0,0.0,1.548,0.0,0.0,0.0,24.778,30.651,0.085,17.214,0.0,1.156,17.439,0.0,3.896,0.0,0.0,34.397,1.152,7.726,124.923,68.675,29.296,0.0,0.0,167.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.169,26.106,0.953,0.0,34.903,6.51,56.722,26.524,24.272,0.0,18.828,267.191
59,0.0,0.0,0.0,22.172,15.801,0.0,0.0,0.0,1.548,0.0,0.0,0.0,19.174,23.648,0.079,13.169,0.0,1.59,14.816,0.0,1.51,0.0,0.0,25.331,1.532,10.026,85.346,51.262,26.619,0.0,0.0,97.674,0.0,0.0,0.0,15.179,0.0,0.0,0.0,0.0,2.466,1.222,0.0,30.184,5.026,49.198,31.477,17.216,0.0,14.493,258.754
62,0.0,0.0,4.775,30.518,15.479,0.0,0.0,0.0,1.548,0.0,0.0,0.0,22.271,27.545,0.0,17.391,0.0,2.436,15.378,0.0,2.487,0.0,0.0,36.173,3.489,8.28,125.415,69.566,29.658,0.0,6.25,170.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.756,26.29,4.155,0.0,30.537,6.561,58.046,27.136,24.969,0.0,17.135,277.568
64,0.0,0.0,5.321,22.534,17.433,0.0,0.0,0.0,1.548,0.0,0.0,0.0,18.189,22.519,0.0,13.403,0.0,2.701,13.133,0.0,0.856,0.0,0.0,29.885,3.781,10.135,85.568,52.144,27.075,0.0,6.836,99.647,0.0,0.0,0.0,15.461,0.0,0.0,0.0,0.0,2.517,4.486,0.0,26.548,5.083,50.206,32.306,17.668,0.0,13.888,271.526
65,0.0,0.0,0.0,8.465,6.091,0.0,0.0,0.0,1.548,0.0,0.0,0.0,5.957,6.822,0.075,5.165,0.0,1.155,4.822,0.0,1.286,0.0,0.0,12.737,0.736,3.34,7.37,0.0,10.609,0.0,0.0,31.537,0.0,1.623,0.0,9.306,0.0,0.0,0.0,0.0,1.234,0.658,0.0,8.948,1.775,6.13,6.652,10.14,0.0,4.698,72.145
66,0.0,0.0,0.286,0.0,2.557,0.0,0.0,0.0,1.548,0.0,5.45,0.0,10.524,11.954,0.22,0.0,0.0,0.266,8.156,0.0,3.277,11.98,18.58,23.236,0.097,3.691,0.0,0.0,0.651,0.0,7.363,35.969,0.0,1.258,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.0,0.0,15.042,0.0,0.324,0.289,21.031,0.0,8.211,103.509
68,0.0,0.0,2.014,11.194,6.833,0.0,0.0,0.0,1.548,0.0,0.0,0.0,5.408,5.934,0.0,6.834,0.0,1.249,4.811,0.0,1.162,0.0,0.0,15.581,1.595,2.881,9.384,0.0,10.533,0.0,2.753,54.995,0.0,1.454,0.0,0.0,0.0,0.0,0.0,13.434,6.3,2.016,0.0,9.201,2.181,6.708,5.124,12.385,0.0,4.321,85.795
69,0.0,0.0,0.0,10.855,5.73,0.0,0.0,0.0,1.548,0.0,0.0,0.0,6.229,7.059,0.075,6.622,0.0,0.768,5.371,0.0,1.686,0.0,0.0,14.598,0.673,2.722,9.186,0.0,10.354,0.0,0.0,53.633,0.0,1.455,0.0,0.0,0.0,0.0,0.0,13.362,6.218,0.612,0.0,10.026,2.144,6.583,5.013,11.822,0.0,4.931,76.789
71,0.0,0.0,2.037,8.77,6.86,0.0,0.0,0.0,1.548,0.0,0.0,0.0,5.325,5.983,0.0,5.356,0.0,1.616,4.26,0.0,0.745,0.0,0.0,13.77,1.625,3.481,7.537,0.0,10.87,0.0,2.801,32.388,0.0,1.639,0.0,9.739,0.0,0.0,0.0,0.0,1.229,2.05,0.0,8.121,1.807,6.275,6.885,10.703,0.0,4.247,79.991
74,0.0,0.0,3.01,0.0,10.21,0.0,0.0,0.0,1.548,0.0,11.162,0.0,50.553,58.617,0.0,0.0,0.0,1.696,20.707,0.0,7.063,37.235,39.184,58.015,2.214,13.327,80.471,44.298,1.125,0.0,3.926,91.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.631,2.716,0.0,40.487,0.0,2.793,1.443,44.76,0.0,35.773,292.428
76,0.0,0.0,0.0,0.0,6.705,0.0,0.0,0.0,1.548,0.0,11.042,0.0,53.118,61.785,0.129,0.0,0.0,0.779,22.151,0.0,7.971,35.848,38.134,58.005,0.652,13.027,80.497,44.11,1.122,0.0,0.0,90.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.656,0.585,0.0,43.267,0.0,2.762,1.432,43.614,0.0,37.424,282.218
84,0.0,0.0,0.0,0.0,5.128,0.0,0.0,0.0,1.548,0.0,5.532,0.0,10.264,11.593,0.075,0.0,0.0,0.676,8.435,0.0,3.174,12.155,18.853,24.124,0.617,3.726,0.0,0.0,0.65,0.0,0.0,36.173,0.0,1.254,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.572,0.0,15.662,0.0,0.324,0.288,21.292,0.0,8.158,104.287
95,0.0,0.0,2.001,0.0,6.672,0.0,0.0,0.0,1.548,0.0,5.643,0.0,9.037,9.866,0.0,0.0,0.0,1.228,7.818,0.0,2.695,12.615,19.599,25.542,1.623,3.814,0.0,0.0,0.646,0.0,2.786,36.876,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.588,2.048,0.0,14.82,0.0,0.323,0.283,22.236,0.0,7.223,115.001
97,0.0,0.0,0.0,19.315,1.223,0.0,0.0,35.263,1.548,0.0,0.0,33.058,16.566,17.367,0.075,16.815,0.0,0.158,0.085,0.0,0.0,0.0,0.0,0.392,0.128,15.923,0.0,27.081,29.218,0.0,0.0,194.091,0.0,2.16,0.0,9.058,148.862,50.247,63.572,0.0,32.741,0.194,0.0,0.173,5.183,23.211,15.252,34.325,0.0,13.171,373.349
98,0.0,0.0,0.0,0.0,1.109,0.0,0.0,18.382,1.548,0.0,20.882,50.727,51.073,61.846,0.092,20.812,0.0,0.296,0.078,0.0,0.0,60.45,70.502,0.372,0.137,35.546,90.362,125.458,1.693,0.0,0.0,299.913,0.0,0.0,0.0,8.845,347.16,161.551,94.843,0.0,49.346,0.185,0.0,0.158,0.0,3.155,2.399,87.029,0.0,39.692,940.49
102,0.0,0.0,0.0,0.0,0.596,0.0,43.392,0.75,1.548,0.0,0.0,27.022,21.421,21.314,0.075,0.729,0.0,0.207,0.053,0.0,0.0,0.0,0.0,0.307,0.087,23.744,0.0,1.408,0.937,0.0,0.0,29.299,66.497,0.035,0.0,0.49,96.859,32.348,62.147,0.0,1.674,0.154,0.0,0.105,0.0,0.532,0.651,7.478,0.0,16.96,216.979
103,0.0,0.0,0.0,0.0,0.556,0.0,40.405,0.411,1.548,0.0,0.0,28.03,24.819,26.089,0.076,0.589,0.0,0.218,0.051,0.0,0.0,0.0,0.0,0.301,0.085,26.343,3.188,10.14,1.076,0.0,0.0,39.437,46.572,0.0,0.0,0.326,99.419,37.264,63.791,0.0,1.919,0.151,0.0,0.1,0.0,0.818,0.884,7.676,0.0,19.714,232.357
105,205.199,12.259,0.0,0.0,0.866,0.0,38.199,0.9,1.548,0.0,0.0,42.397,36.481,42.082,0.08,0.795,0.0,0.182,0.067,0.0,0.0,0.0,0.0,0.343,0.111,30.783,0.0,0.623,0.655,0.0,0.0,32.017,31.41,0.0,0.0,0.326,207.789,87.736,85.047,0.0,2.344,0.172,0.0,0.134,0.0,0.608,0.343,41.956,0.0,28.899,533.724
106,0.0,0.0,0.0,0.0,0.588,0.0,45.635,1.269,1.548,0.0,0.0,29.23,22.821,22.744,0.075,1.231,0.0,0.207,0.053,0.0,0.0,0.0,0.0,0.306,0.087,25.248,0.0,2.294,0.951,0.0,0.0,34.753,68.622,0.0,0.0,0.82,102.844,35.252,66.774,0.0,2.254,0.154,0.0,0.104,0.0,0.546,0.671,7.516,0.0,18.072,232.229
108,0.0,0.0,0.0,16.671,1.851,0.0,0.0,3.451,1.548,0.0,0.0,10.283,14.063,17.342,0.092,0.0,0.0,0.204,0.112,0.0,0.0,0.0,0.0,0.468,0.175,9.001,77.061,57.682,20.979,0.0,0.0,101.054,0.0,0.0,0.0,0.0,116.792,49.083,19.566,0.0,18.609,0.222,0.0,0.231,3.957,38.366,18.519,18.642,0.0,10.81,307.699
115,0.0,0.0,0.0,5.043,1.762,0.0,0.0,4.021,1.548,0.0,0.0,4.087,2.934,2.916,0.075,0.0,0.0,0.344,0.109,0.0,0.0,0.0,0.0,0.461,0.158,3.023,0.0,0.0,7.586,0.0,0.0,25.457,0.0,1.26,0.0,0.0,30.467,5.079,8.88,0.0,3.424,0.22,0.0,0.225,1.352,4.313,3.015,10.067,0.0,2.297,66.394
116,0.0,0.0,0.0,17.474,2.614,0.0,0.0,0.0,1.548,0.0,0.0,5.392,8.813,10.926,0.088,9.329,0.0,0.253,0.145,0.0,0.0,0.0,0.0,0.566,0.209,5.598,81.933,50.505,18.863,0.0,0.0,96.717,0.0,0.0,0.0,0.0,79.798,30.388,10.388,28.403,17.659,0.254,0.0,0.303,3.876,33.84,16.305,16.218,0.0,6.728,210.335
117,0.0,0.0,0.0,0.0,1.427,0.0,0.0,14.783,1.548,0.0,10.553,23.477,14.308,15.627,0.075,13.849,0.0,0.205,0.094,0.0,0.0,24.428,35.817,0.418,0.14,13.191,0.0,17.924,0.772,0.0,0.0,104.008,0.0,1.094,0.0,8.108,126.548,37.563,45.933,0.0,17.049,0.204,0.0,0.193,0.0,0.515,0.458,43.857,0.0,11.407,304.658
123,0.0,0.0,0.0,7.92,2.526,0.0,0.0,0.0,1.548,0.0,0.0,1.773,2.571,2.829,0.075,4.809,0.0,0.356,0.142,0.0,0.0,0.0,0.0,0.559,0.195,2.46,6.844,0.0,7.949,0.0,0.0,31.211,0.0,1.156,0.0,0.0,24.811,2.133,4.433,9.52,4.762,0.252,0.0,0.297,1.575,4.916,3.81,9.493,0.0,2.02,56.183
124,0.0,0.0,0.446,19.585,1.921,0.0,0.0,35.579,1.548,0.0,0.0,33.154,16.669,17.471,0.0,16.884,0.0,0.262,0.227,0.0,0.0,0.0,0.0,1.044,0.301,16.023,0.0,27.214,29.553,0.0,0.51,196.096,0.0,2.176,0.0,9.085,148.466,50.348,63.759,0.0,32.949,0.53,0.0,0.495,5.245,23.477,15.419,34.786,0.0,13.287,378.84
