efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
202,3556.667,3556.667,-2.667,0.0,-7.667,54.0,0.0,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,3557.667,54.0,1874.0,1874.0
204,3522.0,3522.0,0.0,0.0,-5.0,70.0,0.0,0.0,139.0,0.0,1835.0,1858.0,1858.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,13.0,1862.0,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1835.0,1835.0,1835.0,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,3507.0,70.0,1850.0,1850.0
208,904.917,904.917,-2.667,0.0,-7.667,1821.833,0.0,0.0,139.0,883.917,961.75,990.083,990.083,0.0,0.0,0.0,1.0,10.333,0.0,883.917,883.917,10.333,10.333,994.083,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,961.75,961.75,961.75,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,22.0,1821.833,990.083,990.083
212,21.0,21.0,-2.667,0.0,-7.667,54.0,3535.667,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,3535.667,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,22.0,54.0,1874.0,1874.0
213,0.0,0.0,-2.667,0.0,-7.667,54.0,3556.667,0.0,139.0,0.0,1845.667,1874.0,1874.0,0.0,0.0,0.0,1.0,10.333,0.0,0.0,0.0,10.333,10.333,1878.0,0.0,0.0,14.0,0.0,-2.667,102.333,3556.667,0.0,0.0,0.0,1845.667,1845.667,1845.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,1.0,54.0,1874.0,1874.0
214,902.25,902.25,0.0,0.0,-5.0,1816.5,0.0,0.0,139.0,873.25,961.75,984.75,984.75,8.0,0.0,0.0,1.0,5.0,0.0,873.25,873.25,5.0,13.0,988.75,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,961.75,961.75,961.75,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,14.0,1816.5,976.75,976.75
216,0.0,0.0,-2.667,0.0,-7.667,56.0,3553.667,0.0,139.0,1.0,1844.667,1873.0,1873.0,0.0,0.0,0.0,1.0,10.333,0.0,1.0,1.0,10.333,10.333,1877.0,0.0,0.0,14.0,0.0,-2.667,102.333,3553.667,0.0,0.0,0.0,1844.667,1844.667,1844.667,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,0.0,56.0,1873.0,1873.0
218,888.417,888.417,-2.667,0.0,-7.667,1832.833,0.0,0.0,139.0,889.417,956.25,984.583,984.583,0.0,0.0,0.0,1.0,10.333,0.0,889.417,889.417,10.333,10.333,988.583,0.0,0.0,14.0,0.0,-2.667,102.333,0.0,0.0,0.0,0.0,956.25,956.25,956.25,0.0,38.0,-10.333,0.0,-10.333,0.0,14.0,14.0,0.0,1832.833,984.583,984.583
220,0.0,0.0,-2.5,0.0,-7.5,55.0,3554.5,0.0,139.0,0.0,1845.0,1873.0,1873.0,0.5,0.0,0.0,1.0,10.0,0.0,0.0,0.0,10.0,10.5,1877.0,0.0,0.0,14.0,0.0,-2.5,102.0,3554.5,0.0,0.0,0.0,1845.0,1845.0,1845.0,0.0,38.0,-10.0,0.0,-10.0,0.0,14.0,14.0,0.0,55.0,1872.5,1872.5
221,891.75,891.75,0.0,0.0,-5.0,1823.5,0.0,0.0,139.0,876.75,958.25,981.25,981.25,8.0,0.0,0.0,1.0,5.0,0.0,876.75,876.75,5.0,13.0,985.25,0.0,0.0,14.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,958.25,958.25,958.25,0.0,38.0,-5.0,0.0,-5.0,0.0,14.0,14.0,0.0,1823.5,973.25,973.25
