EFM,acronym,glucose uptake [mM / s],biomass yield [gr dw / mol C glc],biomass yield [mol C biomass / mol C glc],acetate secretion [mol C ace / mol C glc],succinate secretion [mol C suc / mol C glc],lactate secretion [mol C lac / mol C glc],formate secretion [mol for / mol C glc],ammonia uptake [mol NH3 / mol C glc],oxygen uptake [mol O$_2$ / mol C glc],maintenance cost [mM ATP / s],pentose phosphate flux (relative to uptake),TCA cycle flux (citrate synthase relative to uptake),ED pathway flux (relative to uptake),upper glycolysis (relative to uptake),pyruvate dehydrogenase (relative to uptake),number of active reactions,sum of fluxes relative to uptake [a.u.],"$\Sigma_i \frac{|v_i| \cdot w_i}{k_{\mathrm{cat},i}}$ [gr enz / gr dw h$^{-1}$]",Pathway specific activity,biomass production [gr dw h$^{-1}$ / gr enz],total enzyme [gr enz / gr dw h$^{-1}$],growth rate [h$^{-1}$],anaerobic,aerobic,succinate-fumarate cycle
1565,max-gr,185.0,18.618018018,0.522522522523,0.0,0.0,0.0,0.0,0.125225225225,0.485585585586,494.0,2.76756756757,0.0756756756757,0.0,0.0,0.297297297297,24,30.5621621622,0.0473615471705,21.1141751007,12.0830195836,0.0827607696139,0.738670559799,False,True,0.0
1218,pareto,165.24,20.8444283063,0.585007665618,0.0,0.0,0.0,0.0,0.140200112967,0.424070039538,0.0,2.50060518034,0.0847252481239,0.119583635924,0.0,0.332849189058,25,25.6068748487,0.0395933602319,25.2567600765,10.7465686845,0.0930529575868,0.699289985958,False,True,0.0
938,max-yield,155.8974,22.0935906137,0.620065932252,0.0,0.0,0.0,0.0,0.148602007902,0.389555994306,0.0,0.0,0.811184150602,0.0,0.908059403172,1.07417763221,28,24.5098705944,0.0752030869486,13.2973264872,4.54426520592,0.220057579099,0.421799103711,False,True,0.0
1295,ana-lac,1663.0,2.0711565444,0.0581278813389,0.0,0.0216476247745,0.923832441371,0.0,0.0139306474243,0.0,0.0,0.90358791341,0.00841852074564,0.90358791341,0.0877931449188,0.0330727600722,31,13.3132893566,0.154986470184,6.45217610809,2.36659239437,0.422548471962,0.258349238862,False,False,0.0
559,aero-ace,217.6667,15.8238873164,0.444104066753,0.349668093466,0.0,0.0,0.0,0.106431836687,0.213118918359,0.0,0.10566614002,0.0643185200125,0.0,0.89892803998,1.30168418045,28,20.7258772242,0.0674890648085,14.8172152457,6.27181688213,0.159443430635,0.520344645728,False,True,0.0
9999,exp,194.4748163,17.7109478691,0.497065216493,0.217538806506,0.0,0.0,0.0,0.119124249988,0.293109049543,66.764887,0.388778401587,0.299633253902,0.10450947216,0.727031438775,1.16307388845,38,22.0534781614,0.0680136128372,14.7029389895,4.34065101962,0.230380188474,0.408620143428,False,True,0.0
