efm,R54ra,R54rb,R13r,R26r,R15r,R96,R94,R95,R93,R91,R8r,R10a,R10b,R10c,R28r,R3,R70,R6r,R2r,R55a,R55b,R4,R12r,R1,R27,R27b,R23r,R9,R14r,RR9,R53r,R80,R82,R29r,R7ra,R7rb,R7rc,R41,R40,R11r,R42,R5r,R25,R24,R22,R21,R20,R60,R61r
3,0.0,0.0,167.546,0.0,162.546,0.0,0.0,0.0,139.0,0.0,0.0,673.636,673.636,510.636,0.0,0.0,1.0,162.773,-492.864,0.0,0.0,162.773,180.546,184.773,0.0,0.0,14.0,0.0,167.546,254.773,0.0,1075.273,0.0,0.0,0.0,0.0,0.0,0.0,38.0,330.091,0.0,-162.773,0.0,14.0,14.0,55.0,0.0,163.0,163.0
4,0.0,0.0,382.6,0.0,377.6,0.0,0.0,0.0,139.0,0.0,0.0,1318.8,1318.8,1155.8,0.0,0.0,1.0,270.3,-1030.5,0.0,0.0,270.3,395.6,292.3,2365.6,2365.6,14.0,0.0,382.6,362.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,760.2,0.0,-270.3,0.0,14.0,14.0,55.0,0.0,163.0,163.0
7,0.0,0.0,5.0,944.0,0.0,0.0,0.0,944.0,139.0,0.0,0.0,2074.0,2074.0,23.0,0.0,0.0,1.0,1025.5,-1030.5,0.0,0.0,1025.5,18.0,1047.5,4820.0,4820.0,958.0,0.0,5.0,2061.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,5.0,0.0,-1025.5,944.0,958.0,958.0,999.0,0.0,2051.0,2051.0
9,0.0,0.0,5.0,255.429,0.0,0.0,0.0,255.429,139.0,0.0,0.0,696.857,696.857,23.0,0.0,0.0,1.0,336.929,-341.929,0.0,0.0,336.929,18.0,358.929,0.0,0.0,269.429,0.0,5.0,684.357,0.0,1377.143,0.0,0.0,0.0,0.0,0.0,0.0,293.429,5.0,0.0,-336.929,255.429,269.429,269.429,310.429,0.0,673.857,673.857
12,0.0,0.0,0.0,956.5,-5.0,0.0,0.0,956.5,139.0,0.0,0.0,2084.0,2084.0,8.0,0.0,0.0,1.0,1035.5,-1030.5,0.0,0.0,1035.5,13.0,1057.5,4852.5,4852.5,970.5,0.0,0.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.5,-5.0,0.0,-1035.5,956.5,970.5,970.5,1011.5,0.0,2076.0,2076.0
13,0.0,0.0,2.5,259.357,-2.5,0.0,0.0,259.357,139.0,0.0,0.0,697.214,697.214,15.5,0.0,0.0,1.0,339.607,-339.607,0.0,0.0,339.607,15.5,361.607,0.0,0.0,273.357,0.0,2.5,690.964,0.0,1381.786,0.0,0.0,0.0,0.0,0.0,0.0,297.357,0.0,0.0,-339.607,259.357,273.357,273.357,314.357,0.0,681.714,681.714
14,0.0,0.0,2.5,950.25,-2.5,0.0,0.0,950.25,139.0,0.0,0.0,2079.0,2079.0,15.5,0.0,0.0,1.0,1030.5,-1030.5,0.0,0.0,1030.5,15.5,1052.5,4836.25,4836.25,964.25,0.0,2.5,2072.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.25,0.0,0.0,-1030.5,950.25,964.25,964.25,1005.25,0.0,2063.5,2063.5
18,0.0,0.0,0.0,263.286,-5.0,0.0,0.0,263.286,139.0,0.0,0.0,697.571,697.571,8.0,0.0,0.0,1.0,342.286,-337.286,0.0,0.0,342.286,13.0,364.286,0.0,0.0,277.286,0.0,0.0,697.571,0.0,1386.429,0.0,0.0,0.0,0.0,0.0,0.0,301.286,-5.0,0.0,-342.286,263.286,277.286,277.286,318.286,0.0,689.571,689.571
19,0.0,0.0,-2.667,267.476,-7.667,0.0,0.0,267.476,139.0,0.0,0.0,697.952,697.952,0.0,0.0,0.0,1.0,345.143,-334.81,0.0,0.0,345.143,10.333,367.143,0.0,0.0,281.476,0.0,-2.667,704.619,0.0,1391.381,0.0,0.0,0.0,0.0,0.0,0.0,305.476,-10.333,0.0,-345.143,267.476,281.476,281.476,322.476,0.0,697.952,697.952
20,0.0,0.0,5.0,472.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,658.0,658.0,23.0,472.0,0.0,1.0,317.5,-322.5,0.0,0.0,317.5,18.0,339.5,2932.0,2460.0,486.0,0.0,5.0,881.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,510.0,5.0,0.0,-317.5,472.0,486.0,486.0,527.0,0.0,635.0,635.0
21,0.0,0.0,-2.667,963.167,-7.667,0.0,0.0,963.167,139.0,0.0,0.0,2089.333,2089.333,0.0,0.0,0.0,1.0,1040.833,-1030.5,0.0,0.0,1040.833,10.333,1062.833,4869.833,4869.833,977.167,0.0,-2.667,2096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.167,-10.333,0.0,-1040.833,963.167,977.167,977.167,1018.167,0.0,2089.333,2089.333
22,0.0,0.0,5.0,314.667,0.0,0.0,0.0,0.0,139.0,0.0,0.0,500.667,500.667,23.0,314.667,0.0,1.0,238.833,-243.833,0.0,0.0,238.833,18.0,260.833,1988.0,1673.333,328.667,0.0,5.0,330.833,0.0,0.0,0.0,314.667,0.0,0.0,0.0,0.0,38.0,5.0,0.0,-238.833,314.667,328.667,328.667,369.667,0.0,477.667,477.667
29,0.0,0.0,5.0,198.667,0.0,0.0,0.0,0.0,139.0,0.0,0.0,384.667,384.667,23.0,198.667,0.0,1.0,180.833,-185.833,0.0,0.0,180.833,18.0,202.833,198.667,0.0,212.667,0.0,5.0,471.5,0.0,1093.333,0.0,0.0,0.0,0.0,0.0,198.667,236.667,5.0,0.0,-180.833,198.667,212.667,212.667,253.667,0.0,361.667,361.667
30,0.0,0.0,2.5,475.125,-2.5,0.0,0.0,0.0,139.0,0.0,0.0,653.625,653.625,15.5,475.125,0.0,1.0,317.812,-317.812,0.0,0.0,317.812,15.5,339.812,2935.75,2460.625,489.125,0.0,2.5,884.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.125,513.125,0.0,0.0,-317.812,475.125,489.125,489.125,530.125,0.0,638.125,638.125
31,0.0,0.0,5.0,162.546,0.0,0.0,0.0,0.0,139.0,0.0,0.0,348.546,348.546,23.0,162.546,0.0,1.0,162.773,-167.773,0.0,0.0,162.773,18.0,184.773,162.546,0.0,176.546,0.0,5.0,254.773,0.0,912.727,0.0,162.546,0.0,0.0,0.0,0.0,38.0,5.0,0.0,-162.773,162.546,176.546,176.546,217.546,0.0,325.546,325.546
32,0.0,0.0,2.5,316.75,-2.5,0.0,0.0,0.0,139.0,0.0,0.0,495.25,495.25,15.5,316.75,0.0,1.0,238.625,-238.625,0.0,0.0,238.625,15.5,260.625,1985.5,1668.75,330.75,0.0,2.5,330.625,0.0,0.0,0.0,316.75,0.0,0.0,0.0,0.0,38.0,0.0,0.0,-238.625,316.75,330.75,330.75,371.75,0.0,479.75,479.75
34,0.0,0.0,2.5,201.722,-2.5,0.0,0.0,0.0,139.0,0.0,0.0,380.222,380.222,15.5,201.722,0.0,1.0,181.111,-181.111,0.0,0.0,181.111,15.5,203.111,201.722,0.0,215.722,0.0,2.5,474.833,0.0,1093.611,0.0,0.0,0.0,0.0,0.0,201.722,239.722,0.0,0.0,-181.111,201.722,215.722,215.722,256.722,0.0,364.722,364.722
35,0.0,0.0,2.5,165.046,-2.5,0.0,0.0,0.0,139.0,0.0,0.0,343.546,343.546,15.5,165.046,0.0,1.0,162.773,-162.773,0.0,0.0,162.773,15.5,184.773,165.046,0.0,179.046,0.0,2.5,254.773,0.0,910.227,0.0,165.046,0.0,0.0,0.0,0.0,38.0,0.0,0.0,-162.773,165.046,179.046,179.046,220.046,0.0,328.046,328.046
37,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,139.0,944.0,0.0,1130.0,1130.0,23.0,0.0,0.0,1.0,553.5,-558.5,944.0,944.0,553.5,18.0,575.5,1988.0,1988.0,14.0,0.0,5.0,645.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,-553.5,0.0,14.0,14.0,999.0,0.0,1107.0,1107.0
