,efm,reaction,dq/dKeq,dlnq/dlnKeq,dmu/dKeq,dlnmu/dlnKeq
78,106,R5r,2.09e-01,1.32e-04,-8.68e-02,-1.09e-04
79,106,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
80,106,R61r,-2.34e-02,-4.76e-04,9.71e-03,3.92e-04
81,106,R6r,-2.10e-06,-5.02e-05,8.72e-07,4.14e-05
82,106,R7ra,-1.94e-01,-3.66e-02,8.07e-02,3.02e-02
83,106,R7rb,-5.49e-06,-8.49e-03,2.28e-06,7.00e-03
84,106,R7rc,-9.58e-02,-3.28e-02,3.98e-02,2.70e-02
85,106,R8r,-2.37e-03,-1.76e-02,9.84e-04,1.46e-02
86,106,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
87,106,R94,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
88,106,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
89,106,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
90,107,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
91,107,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
92,107,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
93,107,R10c,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
94,107,R11r,2.03e-05,2.69e-06,-8.81e-09,-2.68e-06
95,107,R12r,-3.19e-05,-4.23e-06,1.39e-08,4.20e-06
96,107,R15r,6.49e-06,1.39e-05,-2.82e-09,-1.38e-05
97,107,R20,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
98,107,R22,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
99,107,R23r,-1.60e+00,-6.74e-03,6.95e-04,6.70e-03
100,107,R24,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
101,107,R25,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
102,107,R26r,-9.74e-03,-2.90e-04,4.23e-06,2.88e-04
103,107,R4,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
104,107,R40,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
105,107,R54ra,-6.90e+01,-8.89e-03,3.00e-02,8.84e-03
106,107,R54rb,-6.95e-07,-1.10e-04,3.02e-10,1.09e-04
107,107,R5r,8.67e-02,1.47e-06,-3.77e-05,-1.46e-06
108,107,R60,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
109,107,R61r,-8.60e-01,-4.70e-04,3.74e-04,4.67e-04
110,107,R6r,-4.91e-07,-3.15e-07,2.13e-10,3.13e-07
111,107,R7ra,-2.88e+00,-1.45e-02,1.25e-03,1.45e-02
112,107,R7rb,-1.25e-04,-5.19e-03,5.44e-08,5.17e-03
113,107,R7rc,-7.75e-01,-7.12e-03,3.37e-04,7.08e-03
114,107,R8r,-2.46e-02,-4.92e-03,1.07e-05,4.89e-03
115,107,R93,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
116,107,R95,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
117,107,R96,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
118,107,RR9,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
119,113,R1,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
120,113,R10a,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
121,113,R10b,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
122,113,R10c,0.00e+00,0.00e+00,-0.00e+00,-0.00e+00
123,113,R11r,2.07e-05,1.04e-05,-1.26e-07,-1.02e-05
124,113,R12r,-3.41e-05,-1.71e-05,2.07e-07,1.68e-05
125,113,R15r,6.97e-06,5.66e-05,-4.23e-08,-5.54e-05
